__time,/tf/camera_color_optical_frame/tag36h11:0/header/stamp,/tf/camera_color_optical_frame/tag36h11:0/rotation/w,/tf/camera_color_optical_frame/tag36h11:0/rotation/x,/tf/camera_color_optical_frame/tag36h11:0/rotation/y,/tf/camera_color_optical_frame/tag36h11:0/rotation/z,/tf/camera_color_optical_frame/tag36h11:0/translation/x,/tf/camera_color_optical_frame/tag36h11:0/translation/y,/tf/camera_color_optical_frame/tag36h11:0/translation/z
1688480585.854378,1688480585.779284716,0.080296496,0.982941100,0.043217739,0.159723180,-1.307167656,-1.408474769,17.850016448
1688480585.886522,1688480585.812707663,0.158640055,-0.984499688,-0.072281050,-0.019213225,-1.300566936,-1.405142127,17.822281024
1688480585.920700,1688480585.846132278,0.111987396,0.990839672,0.066248837,0.036147736,-1.289762318,-1.393097466,17.655256373
1688480585.954790,1688480585.879558325,0.075319326,0.987536027,0.050248212,0.128742812,-1.313490906,-1.415777060,17.943145943
1688480586.018360,1688480585.946414948,0.078590887,0.992512030,0.059917349,0.071786173,-1.309323012,-1.413649634,17.911794661
1688480586.083855,1688480586.013277292,0.085583757,0.981850378,0.043587467,0.163540173,-1.304690815,-1.406693540,17.828107411
1688480586.117172,1688480586.046710730,0.077992669,0.992275142,0.055820475,0.078684563,-1.312741958,-1.415395707,17.948142393
1688480586.151141,1688480586.080145597,0.082713190,0.982211672,0.038978055,0.164010582,-1.305626574,-1.406720163,17.824190961
1688480586.249943,1688480586.180458546,0.079595345,0.984239607,0.044710280,0.151452858,-1.307645356,-1.409161902,17.856038333
1688480586.287855,1688480586.213899136,0.086560108,0.988964691,0.051435682,0.108676390,-1.311549603,-1.414192997,17.934252831
1688480586.322934,1688480586.247341394,0.082786567,0.982850277,0.045624909,0.158335358,-1.305243862,-1.406194127,17.823518177
1688480586.354587,1688480586.280784845,0.094107864,-0.992467620,-0.069586707,-0.036185952,-1.338056185,-1.445616876,18.329319214
1688480586.392331,1688480586.314229965,0.079931039,0.988858905,0.051671236,0.114451645,-1.303086530,-1.407056788,17.834825758
1688480586.422804,1688480586.347676277,0.085550612,0.981614554,0.042633024,0.165216176,-1.301710537,-1.402482187,17.776107797
1688480586.458475,1688480586.381124258,0.079513135,0.985015942,0.046187797,0.145903882,-1.308941980,-1.409874727,17.867536674
1688480586.489105,1688480586.414573669,-0.093577082,-0.992210415,-0.062255047,-0.053722726,-1.300612384,-1.405154060,17.816903219
1688480586.521347,1688480586.448024511,0.068334241,0.988284715,0.051125679,0.126530305,-1.314598501,-1.416914060,17.956183129
1688480586.585701,1688480586.514930487,0.082450533,0.983068326,0.039387321,0.158830774,-1.305470674,-1.407539762,17.846477786
1688480586.649975,1688480586.581842422,0.076676439,0.986144002,0.049566104,0.138506070,-1.313562603,-1.415608528,17.942649121
1688480586.682112,1688480586.615300655,0.080404804,0.984050155,0.045053230,0.152153101,-1.310501037,-1.411854287,17.894436698
1688480586.880764,1688480586.816308737,0.091423504,0.990150768,0.056176359,0.089930068,-1.309831348,-1.412455570,17.912210685
1688480586.918799,1688480586.850154638,0.088405046,0.979722042,0.040268658,0.175236137,-1.297943063,-1.398778365,17.727543202
1688480586.952398,1688480586.884004354,0.074877753,0.990012450,0.051131779,0.107954675,-1.303269666,-1.408663216,17.857081248
1688480586.986207,1688480586.917858601,0.179257793,-0.975283262,-0.055975044,0.116430225,-1.288651474,-1.388340686,17.624872567
1688480587.117210,1688480587.053317070,0.070040854,0.990677067,0.054052385,0.103593281,-1.307395751,-1.412045678,17.891895319
1688480587.184380,1688480587.121071815,0.069180296,0.988207751,0.048148231,0.127832996,-1.315555645,-1.417530418,17.962725646
1688480587.218210,1688480587.154955626,0.087573013,0.988939828,0.052789279,0.107434988,-1.305805539,-1.408739197,17.872501197
1688480587.282759,1688480587.222735643,-0.086057701,-0.992806461,-0.062486664,-0.054998362,-1.303520573,-1.408453045,17.854465513
1688480587.317562,1688480587.256631851,0.080564126,0.988927147,0.054489106,0.112086830,-1.306039832,-1.409760262,17.876243940
1688480587.388873,1688480587.324437141,0.077901076,0.990589278,0.055079864,0.098135179,-1.308410144,-1.412843875,17.902800823
1688480587.419683,1688480587.358346224,0.075814406,0.986798576,0.047732481,0.134916107,-1.315464583,-1.416571633,17.957592473
1688480587.485335,1688480587.426177025,0.076157817,-0.993747159,-0.070482266,-0.041216771,-1.340626036,-1.447409066,18.359775760
1688480587.518453,1688480587.460098743,0.089807628,0.980167986,0.041535953,0.171697623,-1.297666989,-1.398957163,17.729078549
1688480587.556752,1688480587.494024515,0.073777605,0.992230775,0.055602372,0.083326651,-1.310398871,-1.414369185,17.930836137
1688480587.592222,1688480587.527954578,0.079885023,0.983564230,0.040957433,0.156659750,-1.309065079,-1.410168551,17.870504824
1688480587.627269,1688480587.561888933,0.078612622,0.984833765,0.048197769,0.146967633,-1.310728329,-1.412491691,17.901984919
1688480587.658035,1688480587.595827579,0.078340797,0.984266695,0.045249239,0.151770549,-1.309241373,-1.409918372,17.866034520
1688480587.691212,1688480587.629770517,0.077366612,0.992997486,0.055868330,0.069635695,-1.312829737,-1.416574639,17.957819921
1688480587.722320,1688480587.663717508,0.081049278,0.984175505,0.044061569,0.151288358,-1.309113215,-1.410222085,17.873473316
1688480587.756336,1688480587.697668791,0.081696320,0.990468881,0.059643752,0.093486527,-1.302912302,-1.406453104,17.824281358
1688480587.789113,1688480587.731624365,0.084496582,0.987683928,0.048870571,0.122280225,-1.306628586,-1.409822370,17.876528866
1688480587.823803,1688480587.765583992,0.077712463,0.991995437,0.054768119,0.083104021,-1.310758668,-1.413951709,17.933286121
1688480587.858530,1688480587.799533606,0.086073510,0.988128291,0.055609865,0.114461237,-1.305318638,-1.408359833,17.860024013
1688480587.893889,1688480587.832919836,0.090058851,0.985113408,0.051632077,0.137022278,-1.296015011,-1.399567895,17.741480160
1688480587.927179,1688480587.866306305,0.077177521,0.992643140,0.057343291,0.073586502,-1.308244243,-1.412666522,17.906326007
1688480587.956934,1688480587.899936199,0.084587843,0.990963685,0.056800928,0.087232601,-1.312473641,-1.415049951,17.946768001
1688480587.990232,1688480587.933567286,0.064097596,0.992243329,0.055956328,0.090628716,-1.311900016,-1.415713505,17.942175698
1688480588.021193,1688480587.967200041,0.070710680,0.990625184,0.056193468,0.102489217,-1.305176578,-1.409734280,17.866580677
1688480588.056374,1688480588.000834227,0.164941039,-0.983688061,-0.069329014,-0.018594091,-1.302509276,-1.406427457,17.843944456
1688480588.089733,1688480588.034469843,0.082760354,0.990015764,0.053616373,0.100721379,-1.311299742,-1.415041528,17.947854075
1688480588.122310,1688480588.068106651,0.095226370,0.989806308,0.057712496,0.088795720,-1.306838610,-1.408685124,17.873158790
1688480588.157647,1688480588.101745129,0.072754608,0.987136695,0.048422917,0.133877309,-1.317322468,-1.419121396,17.982826348
1688480588.225894,1688480588.169026375,0.076879270,0.985237354,0.046855010,0.145607492,-1.309857118,-1.411764266,17.892913726
1688480588.294152,1688480588.236313343,0.078076863,0.991061358,0.055597580,0.092791689,-1.306462604,-1.410147690,17.868462161
1688480588.326843,1688480588.269958973,0.075434492,0.986535722,0.046897422,0.137322755,-1.312852098,-1.414551332,17.925590109
1688480588.361392,1688480588.303606033,0.083887986,0.982373926,0.039884902,0.162214273,-1.307233120,-1.408919122,17.851712622
1688480588.391229,1688480588.337254524,0.092075515,0.990115043,0.055506395,0.090074089,-1.305976159,-1.408466655,17.866956437
1688480588.425852,1688480588.370904446,0.075612680,0.983090861,0.041421469,0.161552914,-1.307355997,-1.408889751,17.857411946
1688480588.459177,1688480588.404556036,0.071266212,0.987571807,0.049041196,0.131217431,-1.314297782,-1.416150568,17.946905133
1688480588.491831,1688480588.438209057,0.074410225,0.991190757,0.056804118,0.093687211,-1.308330094,-1.413042715,17.910042720
1688480588.625793,1688480588.572834969,0.068518294,0.992052318,0.058476050,0.087852107,-1.310140444,-1.413716661,17.918057141
1688480588.694198,1688480588.640156746,0.081484096,0.990699273,0.055134282,0.093997357,-1.313282559,-1.416133738,17.955808149
1688480588.725334,1688480588.673819780,0.080460119,0.990550065,0.054184074,0.096957850,-1.310232438,-1.412731684,17.910726023
1688480588.758657,1688480588.707484484,0.071064163,0.991166073,0.052507130,0.098907543,-1.310916549,-1.415543738,17.945575874
1688480588.853693,1688480588.808486223,0.082952916,0.987897220,0.049363986,0.121412900,-1.308589662,-1.412619431,17.910383087
1688480588.888172,1688480588.842156649,0.066835811,0.988465255,0.050625355,0.126120924,-1.308558609,-1.413199951,17.911069968
1688480588.954169,1688480588.909031153,0.084799743,0.989115500,0.051985396,0.108429933,-1.304766452,-1.407598336,17.848516996
1688480589.018836,1688480588.975446224,0.169035060,-0.982911549,-0.071172658,-0.015699930,-1.302618939,-1.406008030,17.845379450
1688480589.118193,1688480589.075059175,0.082465037,0.986431646,0.048566789,0.133391876,-1.310783529,-1.412075840,17.899348189
1688480589.152218,1688480589.108260632,0.078120681,0.992141708,0.055663171,0.080334313,-1.310287966,-1.413584826,17.922710835
1688480589.186113,1688480589.141461134,0.166884748,-0.983349182,-0.071267714,-0.009735465,-1.301153870,-1.404602765,17.824140521
1688480589.221069,1688480589.174660206,0.093773466,0.990883562,0.059232300,0.076471155,-1.307717941,-1.409845891,17.885653717
1688480589.351340,1688480589.307443142,0.170227044,-0.982870348,-0.070409951,0.005574138,-1.299179726,-1.402856072,17.800068046
1688480589.387738,1688480589.340635538,0.062355709,0.988519442,0.043871005,0.130446971,-1.321440777,-1.423217560,18.033160296
1688480589.453970,1688480589.407016516,0.163356951,-0.983941698,-0.071896054,0.002049119,-1.300674490,-1.403734634,17.814703930
