,Z,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,20,206.0,11.719014588422327,0.008833306282990507,11.69559166,11.71293551825,11.7186118125,11.72543373875,11.746494964,-41.404927057888365
1,22,231.0,12.901939279025974,0.018022749790015488,12.853398119,12.890490352,12.902603843,12.915866223,12.942771274,-41.35482145897284
2,24,217.0,14.070907486875575,0.030778079692995505,14.022732718,14.055438616,14.064406145,14.07498046,14.344311379,-41.37121880468511
3,26,212.0,15.24213541498585,0.029368433031836373,15.200271919,15.227011612,15.2395099905,15.25201625875,15.553029336,-41.376402250054426
4,28,78.0,16.391545055269237,0.16423976761657574,16.209283654,16.27991583625,16.397444333499998,16.4232743395,17.141298917,-41.45876765975272
5,30,170.0,17.708430602064706,0.316365192093923,17.459035047,17.51075924775,17.534584561499997,17.9165458025,18.413834136,-40.97189799311765
6,31,127.0,18.217746310417326,0.11759374483847497,18.09018016,18.1776525255,18.200294884,18.22513898,19.087526252,-41.23307641800863
7,32,200.0,18.75115435185,0.07221050765438083,18.623656412,18.686913751,18.7477880375,18.80940705575,18.957459054,-41.40264265046875
8,33,139.0,19.48695223310072,0.1518975057047416,19.303968811,19.4317600975,19.457359015,19.4818657085,20.222825408,-40.94862959666449
9,34,55.0,20.08920002418182,0.2742431658037421,19.819086717,19.9233125515,20.011789033,20.127330716,20.907471047,-40.91411757593582
10,35,185.0,20.860907465291895,0.2900456370551819,20.481133478,20.693740919,20.721870496,20.818278346,21.589153867,-40.39740724202316
11,36,83.0,21.57483266773494,0.3253180823861617,20.638667655,21.336633202,21.67874178,21.837398281,22.055936358,-40.06990925629184
12,37,138.0,21.315309889826086,0.17610101940145115,21.063376398,21.2257125875,21.288713535,21.33907354325,22.127567079,-42.39105435182139
