,Z,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,3.0,212.0,3.151758496316037,0.0008975516727635074,3.149712346,3.1510810197500003,3.1518017225,3.1524206105,3.153701268,5.058616543867908
1,3.5,223.0,3.6956191356502237,0.0014534077590189142,3.691645239,3.6946662855,3.695551163,3.6966736545,3.699113782,5.589118161434963
2,4.0,121.0,4.115804038090909,0.0031846690357047185,4.108289119,4.113187665,4.116113871,4.11849346,4.121571815,2.8951009522727222
3,4.0,204.0,4.14504350337255,0.0014413639400052659,4.142572042,4.144234486749999,4.1448941999999995,4.14551552825,4.15131222,3.626087584313753
4,4.0,196.0,4.211624143729592,0.0010652178845605308,4.208235247,4.210927857,4.2115103415,4.2123939647499995,4.214613475,5.290603593239807
5,4.5,196.0,4.728639867188776,0.001382148355916553,4.724829408,4.7280440605,4.7286912295,4.729638078500001,4.731503498,5.080885937528359
6,5.0,190.0,5.2490877486631575,0.0025731026169172884,5.241317677,5.24752465075,5.249055418499999,5.2506418535,5.25682587,4.9817549732631505
7,5.0,201.0,5.255132247099502,0.003515163266854026,5.248410249,5.252408138,5.254675594,5.257208186,5.263305101,5.102644941990047
8,5.0,214.0,5.276144960359813,0.0018596569255793975,5.270392054,5.27490684075,5.276284156,5.27738081175,5.2800236,5.522899207196268
9,5.5,217.0,5.8167139300322575,0.0033471091402494783,5.81094297,5.814644558,5.815933464,5.818541072,5.840023111,5.75843509149559
10,6.0,226.0,6.355443332712389,0.009140518984185908,6.337512433,6.34982105225,6.3541041765,6.3593236845,6.388614832,5.924055545206489
11,6.0,195.0,6.372853697794873,0.011394933439985952,6.343450835,6.3647554235,6.378566598,6.381464051,6.38732082,6.2142282965812115
12,6.0,206.0,6.363541742538835,0.0029289309204484173,6.356015532,6.3616825302499995,6.36362789,6.3652066107500005,6.372527179,6.059029042313924
13,6.5,200.0,6.85168549814,0.0026542476577170143,6.844870024,6.85011649425,6.8515103105,6.853478611,6.86029902,5.410546125230772
14,7.0,118.0,7.221537660593221,0.010846404667631381,7.20311298,7.2122828605,7.2199446715,7.231604852,7.242712656,3.1648237227602953
15,7.0,203.0,7.288264012290641,0.003525037005332316,7.279798946,7.2857029104999995,7.288372012,7.2906809384999995,7.297007953,4.1180573184377325
16,7.0,192.0,7.4211247584375,0.003269209375193676,7.411912522,7.41879595375,7.421123634,7.423015900249999,7.42988398,6.016067977678574
17,7.0,213.0,7.445852594943662,0.00268563359168054,7.439172068,7.444046908,7.445894751,7.447770175,7.452581923,6.369322784909455
18,7.0,193.0,7.450562944450778,0.006198698522787918,7.440465586,7.44685007,7.449502606,7.452974753,7.480054691,6.436613492153967
19,7.5,203.0,7.9245725891674885,0.03320938104864023,7.892468382,7.9149619,7.922604676,7.9306480655,8.363578735,5.660967855566514
20,8.0,168.0,8.26469125652381,0.03657419869079896,8.208803872,8.25046475575,8.262949042999999,8.270006398,8.448214716,3.3086407065476164
21,8.0,196.0,8.417830528535715,0.08408544529448465,8.215449187,8.424593996499999,8.435160554,8.441404974500001,9.102875422,5.222881606696439
22,8.0,268.0,8.32948716953731,0.10860839436339545,8.24290021,8.25941821375,8.265085099,8.49331313625,8.516663603,4.118589619216384
23,8.0,190.0,8.2751398199,0.010371896756864722,8.245768219,8.26816306725,8.2754159835,8.28154864275,8.301697717,3.439247748749996
24,8.0,197.0,8.351704853791878,0.005637037421683898,8.337378457,8.348010873,8.351775447,8.355699428,8.367280515,4.3963106723984735
25,8.5,202.0,8.95699948729208,0.004652086400908671,8.946557062,8.9534024595,8.957688457,8.95981729775,8.973118317,5.376464556377414
