__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1688316634.531236,1688316634.462923527,0.999834784,-0.006490587,0.002500622,-0.016793557,4.564119387,2.505855941,6.367203900
1688316634.562710,1688316634.496493816,0.999842743,-0.008246373,-0.000786644,-0.015680164,4.566750078,2.507558243,6.371510614
1688316634.597203,1688316634.530066729,0.999840639,-0.008437138,-0.000160838,-0.015731700,4.569389936,2.509040301,6.375259758
1688316634.631374,1688316634.563641787,0.999833908,-0.009243736,0.000312640,-0.015703885,4.572095103,2.510532825,6.379001596
1688316634.664131,1688316634.597219467,0.999852117,-0.006783238,-0.000015504,-0.015802910,4.548923755,2.497915608,6.346066852
1688316634.696839,1688316634.630799532,0.999836527,-0.008640556,0.000282725,-0.015880202,4.570995153,2.509922657,6.377508283
1688316634.729955,1688316634.664382219,0.999838126,-0.008164688,-0.000018190,-0.016033068,4.570011302,2.509363389,6.376111271
1688316634.764311,1688316634.697967291,0.999836256,-0.008484149,-0.000218816,-0.015982239,4.570478595,2.509627973,6.376720924
1688316634.795770,1688316634.731554747,0.999838832,-0.008791564,0.000483464,-0.015645574,4.574655968,2.511938789,6.382634155
1688316634.831045,1688316634.765144587,0.999836239,-0.005806040,0.001931121,-0.017031015,4.561455078,2.504435917,6.363513554
1688316634.863967,1688316634.798737049,0.999838361,-0.009131088,0.000118332,-0.015487423,4.572418726,2.510696574,6.379460368
1688316634.896261,1688316634.832331896,0.999834382,-0.009226760,0.000009515,-0.015686813,4.572535417,2.510732296,6.379577985
1688316634.929127,1688316634.865929127,0.999819947,-0.010664598,0.001539505,-0.015619533,4.557082275,2.502444789,6.357397260
1688316634.963160,1688316634.899523020,0.999838616,-0.009588978,-0.002937768,-0.014905143,4.553121007,2.500544451,6.352603550
1688316634.997797,1688316634.932879448,0.999837942,-0.009230514,-0.001989428,-0.015327430,4.555909789,2.502046078,6.356531966
1688316635.029913,1688316634.966235638,0.999834624,-0.007038413,0.002858053,-0.016523238,4.566381279,2.507103904,6.370413222
1688316635.065960,1688316634.999592066,0.999810173,-0.010631518,0.002295589,-0.016165343,4.557074053,2.502398334,6.357359750
1688316635.099485,1688316635.032948256,0.999831547,-0.009765909,0.001108640,-0.015500850,4.552477003,2.499894752,6.350922195
1688316635.130217,1688316635.066304445,0.999834061,-0.009168652,0.000588340,-0.015730241,4.573694994,2.511377454,6.381236060
1688316635.164716,1688316635.099660873,0.999833364,-0.009152528,-0.000065205,-0.015794627,4.570174971,2.509488806,6.376304821
1688316635.197391,1688316635.133017063,0.999830535,-0.009437446,0.000814486,-0.015785174,4.574873978,2.512006438,6.382830195
1688316635.230295,1688316635.166373253,0.999833622,-0.008789568,-0.000210659,-0.015982083,4.570038472,2.509383174,6.376055829
1688316635.264659,1688316635.199729681,0.999828449,-0.009659970,0.000662374,-0.015789844,4.575042029,2.512114852,6.383064615
1688316635.297166,1688316635.233085871,0.999843470,-0.009689896,-0.002776784,-0.014540665,4.554100205,2.501061794,6.353919678
1688316635.333069,1688316635.266442299,0.999836110,-0.009235849,0.000045316,-0.015570820,4.573124422,2.511088805,6.380401532
1688316635.365329,1688316635.299798489,0.999837359,-0.008820882,0.000114985,-0.015730042,4.571921100,2.510456657,6.378784925
1688316635.398751,1688316635.333154678,0.999838221,-0.008843345,0.000141156,-0.015662270,4.571495564,2.510169530,6.378165666
1688316635.431576,1688316635.366511345,0.999834606,-0.009041826,-0.000044764,-0.015779834,4.571212755,2.510028033,6.377815602
1688316635.464699,1688316635.399867535,0.999837719,-0.006374659,0.002543580,-0.016656222,4.563741903,2.505682028,6.366741917
1688316635.498239,1688316635.433223724,0.999832821,-0.006229218,0.002788884,-0.016963155,4.565478150,2.506644217,6.369097725
1688316635.532553,1688316635.466580153,0.999834479,-0.008986602,0.000274883,-0.015817104,4.571902146,2.510366217,6.378700583
1688316635.563482,1688316635.499936342,0.999829172,-0.007160051,0.003335623,-0.016710325,4.567137049,2.507537481,6.371449481
1688316635.597782,1688316635.533292532,0.999835929,-0.009184621,0.000248774,-0.015610777,4.573676571,2.511350594,6.381142285
1688316635.631552,1688316635.566648960,0.999828527,-0.009630689,0.000697581,-0.015801266,4.575749036,2.512536533,6.384080254
1688316635.668405,1688316635.600005150,0.999837381,-0.009052377,-0.000207326,-0.015595634,4.571363868,2.510108877,6.377937572
1688316635.699711,1688316635.633361340,0.999835180,-0.008361460,0.000092397,-0.016114898,4.570993893,2.509899840,6.377480351
1688316635.731655,1688316635.666717768,0.999826462,-0.009776528,0.001194920,-0.015812558,4.576014060,2.512671749,6.384454757
1688316635.765595,1688316635.700073957,0.999840482,-0.005700693,0.002185110,-0.016785035,4.561612214,2.504554276,6.363758316
1688316635.800307,1688316635.733430147,0.999832441,-0.009415007,0.000467617,-0.015691684,4.573157967,2.511128258,6.380497964
1688316635.831335,1688316635.766786337,0.999838412,-0.006588051,0.002509618,-0.016536311,4.564685651,2.506182721,6.368014260
