,X,count,mean,std,min,25%,50%,75%,max,trueRelErr,Y,count,mean,std,min,25%,50%,75%,max,trueRelErr,Z,count,mean,std,min,25%,50%,75%,max,trueRelErr
0,0,184.0,0.004918618989130435,4.3841441753519055e-05,0.004810932,0.00488527425,0.004922571000000001,0.004945909,0.005030349,inf,0,184.0,-0.016020136945652175,5.298844302625577e-05,-0.016160542,-0.01605744025,-0.0160188865,-0.01598387125,-0.015907861,inf,3.0,184.0,3.138705502195652,0.0038401667344614846,3.127798659,3.1361517247500004,3.139039259,3.141258256,3.147874614,0.04623516739855068
1,0,183.0,-0.00696541456830601,0.00012585197608735765,-0.007128612,-0.0070358995,-0.007008373,-0.006959599,-0.006538037,inf,0,183.0,-0.0156966304863388,8.999133778826454e-05,-0.015845416,-0.015756305499999998,-0.015728438,-0.015657079,-0.01539377,inf,3.5,183.0,3.6524422631420763,0.016920160460691832,3.597408205,3.64721835,3.6581426,3.6634874625,3.676691161,0.04355493232630752
2,0,232.0,-0.013330220068965518,8.584991208735437e-05,-0.013605761,-0.01337779125,-0.013319734,-0.01327248,-0.013128816,inf,0,232.0,-0.016396888021551724,5.6156174547767776e-05,-0.016708809,-0.01643085675,-0.016394909,-0.01636587725,-0.016236602,inf,4.0,232.0,4.1487738186982765,0.014910000204950155,4.110367993,4.1387069075,4.147452057500001,4.155718131,4.190627018,0.03719345467456914
3,1,176.0,1.0187892123636364,0.003276080282964799,1.00320069,1.01891292825,1.0197366085,1.020342927,1.021623681,0.0187892123636364,0,176.0,-0.047755250267045454,0.00021174939906945883,-0.04798298,-0.047864792,-0.047814508,-0.04775109875,-0.046850403,inf,4.0,176.0,4.163667803903409,0.01320157268417117,4.100693981,4.16426077775,4.1674444180000005,4.16988557,4.175044603,0.04091695097585224
4,-1,186.0,-1.0574228642849461,0.0023008613454672537,-1.061902695,-1.05898249725,-1.0574975814999998,-1.0560405225,-1.050613862,0.05742286428494614,0,186.0,0.015935342489247314,7.057897216488233e-05,0.01573842,0.0158885085,0.015933288,0.015984320500000003,0.016130082,inf,4.0,186.0,4.192745507139785,0.009407425807615536,4.16532006,4.186803013,4.192972349,4.199263142,4.211165677,0.048186376784946194
5,0,185.0,-0.016591556135135136,0.00021233978914345536,-0.017095696,-0.016758284,-0.016591043,-0.016420501,-0.016138256,inf,0,185.0,-0.01540460591891892,0.00017372468769563093,-0.015817424,-0.015535801,-0.015400413,-0.015279683,-0.015002301,inf,4.5,185.0,4.2899119330540545,0.04388319126445133,4.195861781,4.256078652,4.291247264,4.324999342,4.397050424,0.046686237099099
6,0,172.0,-0.023771505732558144,0.000281114524772375,-0.025017175,-0.02396232675,-0.023765446000000003,-0.023575752749999998,-0.022956798,inf,0,172.0,-0.015192665087209302,0.00019891640147770695,-0.016183329,-0.015296530000000001,-0.01517421,-0.01506366225,-0.014718649,inf,5.0,172.0,4.36571074522093,0.048214097048235614,4.228767409,4.33246062025,4.3642987125,4.39583292625,4.568878729,0.12685785095581395
7,1,207.0,0.9757526409903382,0.008837978147570556,0.951726857,0.9705862165000001,0.975791935,0.9808306215,1.001092539,0.024247359009661795,0,207.0,-0.047826264236714974,0.00045966220833714995,-0.049072365,-0.048077684999999995,-0.047789951,-0.0475417355,-0.046591269,inf,5.0,207.0,5.065405713352658,0.046592831355959485,4.939790005,5.037942486,5.065082648,5.0923804985,5.199026066,0.013081142670531598
8,-1,206.0,-1.0884383262135922,0.005307757595951095,-1.099622216,-1.0923036105000001,-1.088493611,-1.0850410355000002,-1.073687043,0.08843832621359216,0,206.0,0.012376990587378641,0.00014763516277208863,0.011968846,0.012288815750000001,0.0123632735,0.012453176,0.012776038,inf,5.0,206.0,5.208544094873787,0.02492941118264362,5.139835435,5.192753688,5.2091669895,5.22645069975,5.261029208,0.04170881897475738
9,0,215.0,-0.03184454717209302,0.00011205636707613713,-0.032040205,-0.0319235815,-0.031865276,-0.0317787075,-0.031425317,inf,0,215.0,-0.02012523186046512,8.428342083834791e-05,-0.020428164,-0.020178421,-0.020110304,-0.0200585345,-0.019934737,inf,5.5,215.0,5.784866825358139,0.011305283855108544,5.739855612,5.7791409995,5.788776322,5.7931572185,5.798890293,0.051793968246934406
10,0,198.0,-0.04079167211616162,0.0004724882148216416,-0.041906288,-0.0411558445,-0.0408584625,-0.04050545775,-0.039437883,inf,0,198.0,-0.023475780797979795,0.0002535146791370653,-0.024026255,-0.02365508375,-0.023497437500000003,-0.02332388825,-0.022811852,inf,6.0,198.0,5.905708262176767,0.06355126614190554,5.719298393,5.8695334695,5.9130243435,5.9511829285,6.048533963,0.015715289637205476
11,1,196.0,0.9915825430510204,0.003933501982641208,0.974150217,0.988799288,0.9917189694999999,0.9943789510000001,0.999584438,0.008417456948979551,0,196.0,-0.055825547285714296,0.00022295647005518088,-0.056304045,-0.055977595000000005,-0.055831080500000005,-0.055683047,-0.054802745,inf,6.0,196.0,6.27393742440306,0.024679567996286112,6.164428096,6.2565231807499995,6.274733346,6.291525893749999,6.324004203,0.04565623740051006
12,-1,239.0,-1.0554902953807532,0.01991794879178689,-1.087248988,-1.071313879,-1.056145222,-1.0425345364999998,-0.995036475,0.05549029538075323,0,239.0,0.006545928317991631,0.0001556204257005956,0.006122625,0.006448926,0.006555528,0.0066434365,0.006915365,inf,6.0,239.0,6.15337533713389,0.11661522944191473,5.800074732,6.078086064,6.157665518,6.2464175765,6.3398739,0.025562556188981695
13,0,174.0,-0.03097368185632184,0.0007207500192633768,-0.032873216,-0.0314496315,-0.031003554500000002,-0.03043759275,-0.029235642,inf,0,174.0,-0.01847047422413793,0.00040873867276741276,-0.019562612,-0.018728789,-0.018498550000000002,-0.0181831675,-0.017441758,inf,6.5,174.0,4.831361957781609,0.10664954839016832,4.572717417,4.75275700575,4.8367580409999995,4.902030025,5.109484479,0.25671354495667553
