,X,count,mean,std,min,25%,50%,75%,max,trueRelErr,Y,count,mean,std,min,25%,50%,75%,max,trueRelErr,Z,count,mean,std,min,25%,50%,75%,max,trueRelErr
0,0,191.0,0.0043718177486911,4.609409015332469e-05,0.00373812,0.004375153,0.004375153,0.004375153,0.004375153,inf,0,191.0,-0.015535999607329843,2.0017184953191148e-05,-0.015537448,-0.015537448,-0.015537448,-0.015537448,-0.015260805,inf,3.0,191.0,2.846388763329843,0.00791057792322064,2.845816374,2.845816374,2.845816374,2.845816374,2.955142736,0.05120374555671899
1,0,190.0,-0.003167145973684211,0.0002919090658847155,-0.003252383,-0.003252383,-0.003252383,-0.003252383,-0.002172714,inf,0,190.0,-0.015901692078947365,5.085371183414612e-06,-0.015903177,-0.015903177,-0.015903177,-0.015903177,-0.015884368,inf,3.5,190.0,3.431569275026315,0.056597145838241554,3.238762617,3.44809556,3.44809556,3.44809556,3.44809556,0.0195516357067671
2,0,198.0,-0.008452539166666667,3.975999695517619e-05,-0.008462158,-0.008462158,-0.008462158,-0.008462158,-0.008289019,inf,0,198.0,-0.01339605183333333,0.0005320997177117282,-0.015584408,-0.013267325,-0.013267325,-0.013267325,-0.013267325,inf,4.0,198.0,3.3025520113333338,0.0715368040751862,3.285245657,3.285245657,3.285245657,3.285245657,3.596760035,0.17436199716666656
3,1,184.0,0.9371762468315217,0.00298045193175418,0.936956525,0.936956525,0.936956525,0.936956525,0.977385342,0.06282375316847832,0,184.0,-0.04583637258152174,6.875358485361169e-05,-0.046763923,-0.045831304,-0.045831304,-0.045831304,-0.045831304,inf,4.0,184.0,3.808146119972826,0.011780106497145695,3.807277679,3.807277679,3.807277679,3.807277679,3.967070818,0.04796347000679346
4,-1,200.0,-0.7822667185600003,0.031617535945080155,-0.897222817,-0.773614109,-0.773614109,-0.773614109,-0.773614109,0.2177332814399997,0,200.0,0.00982578466,0.0006318810525185447,0.009652861,0.009652861,0.009652861,0.009652861,0.012123199,inf,4.0,200.0,3.1026158479399997,0.12642428367781405,3.06801796,3.06801796,3.06801796,3.06801796,3.562273502,0.22434603801500008
5,0,192.0,-0.00900370784375,0.00018740573231544307,-0.011586953,-0.008990183,-0.008990183,-0.008990183,-0.008990183,inf,0,192.0,-0.014814815151041667,0.00023822143276451885,-0.018098516,-0.014797623,-0.014797623,-0.014797623,-0.014797623,inf,4.5,192.0,3.9082092889687505,0.03985444707992775,3.905333042,3.905333042,3.905333042,3.905333042,4.45757246,0.1315090468958332
6,0,196.0,-0.018496534000000002,3.478331593778659e-18,-0.018496534,-0.018496534,-0.018496534,-0.018496534,-0.018496534,inf,0,196.0,-0.017521138999999998,3.478331593778659e-18,-0.017521139,-0.017521139,-0.017521139,-0.017521139,-0.017521139,inf,5.0,196.0,4.994361400999999,8.904528880073367e-16,4.994361401,4.994361401,4.994361401,4.994361401,4.994361401,0.0011277198000001932
7,1,221.0,0.9685561059999998,2.225486795917328e-16,0.968556106,0.968556106,0.968556106,0.968556106,0.968556106,0.03144389400000025,0,221.0,-0.050603144,0.0,-0.050603144,-0.050603144,-0.050603144,-0.050603144,-0.050603144,inf,5.0,221.0,4.994361401,0.0,4.994361401,4.994361401,4.994361401,4.994361401,4.994361401,0.0011277198000000156
8,-1,235.0,-1.0165777210000004,4.45037106787365e-16,-1.016577721,-1.016577721,-1.016577721,-1.016577721,-1.016577721,0.016577721000000434,0,235.0,0.010047198000000005,5.215278595164434e-18,0.010047198,0.010047198,0.010047198,0.010047198,0.010047198,inf,5.0,235.0,4.994361401,0.0,4.994361401,4.994361401,4.994361401,4.994361401,4.994361401,0.0011277198000000156
9,0,210.0,-0.036001834999999996,6.955474319192223e-18,-0.036001835,-0.036001835,-0.036001835,-0.036001835,-0.036001835,inf,0,210.0,-0.022614459999999996,3.4777371595961115e-18,-0.02261446,-0.02261446,-0.02261446,-0.02261446,-0.02261446,inf,5.5,210.0,5.569826603000001,8.903007128566045e-16,5.569826603,5.569826603,5.569826603,5.569826603,5.569826603,0.01269574600000018
10,0,190.0,-0.029853912,0.0,-0.029853912,-0.029853912,-0.029853912,-0.029853912,-0.029853912,inf,0,190.0,-0.019115731000000004,3.478613274274224e-18,-0.019115731,-0.019115731,-0.019115731,-0.019115731,-0.019115731,inf,6.0,190.0,4.426155567000002,1.7810499964284027e-15,4.426155567,4.426155567,4.426155567,4.426155567,4.426155567,0.26230740549999965
11,1,211.0,0.676030278,0.0,0.676030278,0.676030278,0.676030278,0.676030278,0.676030278,0.32396972199999996,0,211.0,-0.03980073299999999,6.955395458492113e-18,-0.039800733,-0.039800733,-0.039800733,-0.039800733,-0.039800733,inf,6.0,211.0,4.269810677000001,8.902906186869905e-16,4.269810677,4.269810677,4.269810677,4.269810677,4.269810677,0.2883648871666666
12,-1,210.0,-1.0638700603714288,0.07797835254268765,-1.087689042,-1.087689042,-1.087689042,-1.087689042,-0.809800923,0.06387006037142884,0,210.0,0.0053566064857142855,0.000777481062116094,0.002823417,0.005594093,0.005594093,0.005594093,0.005594093,inf,6.0,210.0,6.028400965828573,0.4397626849305732,4.595565796,6.162729263,6.162729263,6.162729263,6.162729263,0.004733494304762183
13,0,186.0,-0.049800779999999996,6.957622396550166e-18,-0.04980078,-0.04980078,-0.04980078,-0.04980078,-0.04980078,inf,0,186.0,-0.026718353999999996,3.478811198275083e-18,-0.026718354,-0.026718354,-0.026718354,-0.026718354,-0.026718354,inf,6.5,186.0,6.58059454,0.0,6.58059454,6.58059454,6.58059454,6.58059454,6.58059454,0.012399159999999982
