,X,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,0,191.0,0.0043718177486911,4.609409015332469e-05,0.00373812,0.004375153,0.004375153,0.004375153,0.004375153,inf
1,0,190.0,-0.003167145973684211,0.0002919090658847155,-0.003252383,-0.003252383,-0.003252383,-0.003252383,-0.002172714,-inf
2,0,198.0,-0.008452539166666667,3.975999695517619e-05,-0.008462158,-0.008462158,-0.008462158,-0.008462158,-0.008289019,-inf
3,1,184.0,0.9371762468315217,0.00298045193175418,0.936956525,0.936956525,0.936956525,0.936956525,0.977385342,-6.2823753168478325
4,-1,200.0,-0.7822667185600003,0.031617535945080155,-0.897222817,-0.773614109,-0.773614109,-0.773614109,-0.773614109,-21.77332814399997
5,0,192.0,-0.00900370784375,0.00018740573231544307,-0.011586953,-0.008990183,-0.008990183,-0.008990183,-0.008990183,-inf
6,0,196.0,-0.018496534000000002,3.478331593778659e-18,-0.018496534,-0.018496534,-0.018496534,-0.018496534,-0.018496534,-inf
7,1,221.0,0.9685561059999998,2.225486795917328e-16,0.968556106,0.968556106,0.968556106,0.968556106,0.968556106,-3.144389400000025
8,-1,235.0,-1.0165777210000004,4.45037106787365e-16,-1.016577721,-1.016577721,-1.016577721,-1.016577721,-1.016577721,1.6577721000000434
9,0,210.0,-0.036001834999999996,6.955474319192223e-18,-0.036001835,-0.036001835,-0.036001835,-0.036001835,-0.036001835,-inf
10,0,190.0,-0.029853912,0.0,-0.029853912,-0.029853912,-0.029853912,-0.029853912,-0.029853912,-inf
11,1,211.0,0.676030278,0.0,0.676030278,0.676030278,0.676030278,0.676030278,0.676030278,-32.39697219999999
12,-1,210.0,-1.0638700603714288,0.07797835254268765,-1.087689042,-1.087689042,-1.087689042,-1.087689042,-0.809800923,6.387006037142884
13,0,186.0,-0.049800779999999996,6.957622396550166e-18,-0.04980078,-0.04980078,-0.04980078,-0.04980078,-0.04980078,-inf
