,Z,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,3.0,191.0,2.846388763329843,0.00791057792322064,2.845816374,2.845816374,2.845816374,2.845816374,2.955142736,-5.1203745556719
1,3.5,190.0,3.431569275026315,0.056597145838241554,3.238762617,3.44809556,3.44809556,3.44809556,3.44809556,-1.95516357067671
2,4.0,198.0,3.3025520113333338,0.0715368040751862,3.285245657,3.285245657,3.285245657,3.285245657,3.596760035,-17.436199716666657
3,4.0,184.0,3.808146119972826,0.011780106497145695,3.807277679,3.807277679,3.807277679,3.807277679,3.967070818,-4.796347000679346
4,4.0,200.0,3.1026158479399997,0.12642428367781405,3.06801796,3.06801796,3.06801796,3.06801796,3.562273502,-22.434603801500007
5,4.5,192.0,3.9082092889687505,0.03985444707992775,3.905333042,3.905333042,3.905333042,3.905333042,4.45757246,-13.15090468958332
6,5.0,196.0,4.994361400999999,8.904528880073367e-16,4.994361401,4.994361401,4.994361401,4.994361401,4.994361401,-0.11277198000001931
7,5.0,221.0,4.994361401,0.0,4.994361401,4.994361401,4.994361401,4.994361401,4.994361401,-0.11277198000000156
8,5.0,235.0,4.994361401,0.0,4.994361401,4.994361401,4.994361401,4.994361401,4.994361401,-0.11277198000000156
9,5.5,210.0,5.569826603000001,8.903007128566045e-16,5.569826603,5.569826603,5.569826603,5.569826603,5.569826603,1.2695746000000179
10,6.0,190.0,4.426155567000002,1.7810499964284027e-15,4.426155567,4.426155567,4.426155567,4.426155567,4.426155567,-26.230740549999965
11,6.0,211.0,4.269810677000001,8.902906186869905e-16,4.269810677,4.269810677,4.269810677,4.269810677,4.269810677,-28.836488716666658
12,6.0,210.0,6.028400965828573,0.4397626849305732,4.595565796,6.162729263,6.162729263,6.162729263,6.162729263,0.4733494304762183
13,6.5,186.0,6.58059454,0.0,6.58059454,6.58059454,6.58059454,6.58059454,6.58059454,1.2399159999999982
