,Z,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,3.0,180.0,6.287484855044445,0.001913814587052212,6.280811998,6.28610685425,6.28772386,6.28874001925,6.291911283,109.58282850148152
1,3.5,203.0,7.336536291,0.0015257788153270491,7.330810308,7.335659094,7.336609832,7.3375589864999995,7.340381299,109.6153226
2,4.0,184.0,8.35959007963587,0.004092750255671259,8.331753102,8.35767265925,8.3597000285,8.362135756499999,8.367498977,108.98975199089675
3,4.0,183.0,8.354728945398907,0.004543602538580012,8.339927931,8.3536086435,8.355899054,8.357705991500001,8.361643345,108.86822363497268
4,4.0,178.0,8.369101507730337,0.009605377866728335,8.359125903,8.36219773975,8.363753780500002,8.3818266625,8.387627184,109.22753769325841
5,4.5,198.0,9.439651474914141,0.005873498232452661,9.422566633,9.43528197325,9.438584535499999,9.443010388000001,9.458027778,109.77003277586981
6,5.0,177.0,10.445431231418079,0.0031022085553647142,10.43787418,10.443541761,10.445443522,10.447432505,10.45483017,108.90862462836157
7,5.0,209.0,10.45446465474641,0.003738700569531245,10.439129758,10.452826961,10.454544609,10.456693021,10.464301802,109.08929309492818
8,5.0,209.0,10.47944295069378,0.004667737318303382,10.467761682,10.476436527,10.478919585,10.48172962,10.492059611,109.5888590138756
9,5.5,191.0,11.541997655172775,0.004197511454799021,11.52811186,11.539931783,11.542388364,11.544787681999999,11.551489132,109.85450282132318
10,6.0,197.0,12.494338305345176,0.026253196140519006,12.457717644,12.470781885,12.485682793,12.523310513,12.538225346,108.23897175575293
11,6.0,197.0,12.598009620380708,0.019059336037523356,12.548046916,12.59944225,12.60486225,12.609160007,12.622034303,109.96682700634513
12,6.0,195.0,12.662312937369233,0.011457521088852628,12.636725934,12.653999902999999,12.661860889,12.6707481515,12.686359455,111.03854895615387
13,6.5,196.0,13.567644169903062,0.007070934847346626,13.551598557,13.56327999725,13.566617475,13.57036238975,13.594794113,108.73298722927787
14,7.0,204.0,14.505301056960786,0.021949122965035976,14.441563769,14.488167057250001,14.498880011,14.5256672625,14.557028936,107.21858652801122
15,7.0,104.0,14.538680685865385,0.028831762182451537,14.480549072,14.5211565845,14.532009240499999,14.54713963375,14.65061989,107.6954383695055
16,7.0,178.0,14.636643446713483,0.008494488186901888,14.617006032,14.6308244005,14.6362623435,14.64259877775,14.660507072,109.09490638162119
17,7.0,194.0,14.643048935128867,0.007333310924522521,14.623400701,14.63803071125,14.6431406875,14.64835519075,14.66076493,109.18641335898383
18,7.0,196.0,14.741351015086735,0.017586127311831443,14.670549476,14.73147455875,14.7442794585,14.7529460405,14.77303903,110.59072878695335
19,7.5,204.0,15.616967123558826,0.037090955202765806,15.559038569,15.58782928875,15.598421342,15.65466777675,15.69792322,108.22622831411768
20,8.0,175.0,16.597706250685718,0.08135688078801523,16.494040344,16.5110795565,16.65838276,16.673893136,16.69217324,107.47132813357148
21,8.0,143.0,16.605618520566434,0.04890030500034408,16.541020891,16.590223248500003,16.601054943,16.608463452499997,17.010077523,107.57023150708042
22,8.0,199.0,16.59948398013568,0.02511587667380032,16.545048246,16.5772983095,16.607672709,16.6159954175,16.645862234,107.49354975169601
23,8.0,197.0,16.79976928048731,0.035143121554818565,16.589019173,16.797046028,16.803078921,16.808085543,16.990217204,109.99711600609139
24,8.0,209.0,16.62012021378469,0.016290833838924067,16.592233968,16.609819558,16.616275902,16.624467409,16.676460763,107.75150267230865
25,8.5,207.0,17.61166896561353,0.06561786758782438,17.532956662,17.5654821635,17.577784462,17.700699514500002,17.743496317,107.19610547780623
26,,55.0,18.66562495698182,0.012777544342140658,18.631022268,18.6587657795,18.669536161,18.673736456,18.687048987,
