__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1688321583.200514,1688321583.131865501,0.032349127,0.996782701,-0.016803545,0.071382222,-0.068061646,-0.040498505,11.539549252
1688321583.231966,1688321583.165023565,-0.044684607,0.996593348,-0.016581135,-0.067305655,-0.068772158,-0.040046578,11.528111860
1688321583.263984,1688321583.198180199,0.030045400,0.996887995,-0.016658539,0.070951340,-0.068100852,-0.040511912,11.547331624
1688321583.298150,1688321583.231334925,0.029663324,0.997009387,-0.016636767,0.069394427,-0.068199505,-0.040553166,11.544736271
1688321583.332716,1688321583.264487982,0.030763611,0.996940136,-0.016623461,0.069911565,-0.068188786,-0.040507599,11.546072182
1688321583.399293,1688321583.330789566,0.031956309,0.996888613,-0.016608185,0.070114597,-0.068107185,-0.040509548,11.547675518
1688321583.431040,1688321583.363938093,0.033871839,0.996726649,-0.016703478,0.071482022,-0.068013860,-0.040589335,11.542574423
1688321583.465776,1688321583.397084475,0.031517550,0.996989754,-0.016381941,0.068918117,-0.068083202,-0.040579538,11.545913568
1688321583.498101,1688321583.430229425,0.033247938,0.996659483,-0.016695673,0.072702849,-0.068023702,-0.040532055,11.539183900
1688321583.533015,1688321583.463372707,0.034399390,0.996778266,-0.016613517,0.070524905,-0.068106350,-0.040566651,11.541705844
1688321583.564852,1688321583.496514559,0.033568241,0.996832768,-0.016574184,0.070163398,-0.068091000,-0.040581755,11.542161019
1688321583.598269,1688321583.529654503,0.032598056,0.996784651,-0.016608225,0.071287402,-0.068109334,-0.040546586,11.545236572
1688321583.632039,1688321583.562793016,-0.037228448,-0.996477445,0.017093422,-0.073174852,-0.068120522,-0.040539128,11.532777392
1688321583.665321,1688321583.595929623,0.030885445,0.996817094,-0.016629667,0.071590676,-0.068052251,-0.040557414,11.542855857
1688321583.698271,1688321583.629065037,0.032981202,0.996852551,-0.016528603,0.070171482,-0.068052672,-0.040541001,11.545184284
1688321583.733375,1688321583.662198544,0.033463758,0.996747446,-0.016856937,0.071348093,-0.068051049,-0.040506058,11.543025731
1688321583.765797,1688321583.695330381,0.030212060,0.997101489,-0.016507951,0.067847914,-0.068229742,-0.040507710,11.544219215
1688321583.797635,1688321583.728460550,0.033855558,0.996679017,-0.016676148,0.072157077,-0.068099954,-0.040544432,11.540945022
1688321583.832255,1688321583.761589050,0.036835399,0.996558871,-0.017172620,0.072240371,-0.068045386,-0.040503993,11.533279410
1688321583.866394,1688321583.794715881,0.034522472,0.996725121,-0.016712360,0.071189386,-0.068098467,-0.040542428,11.539888090
1688321583.898462,1688321583.827841282,0.032355804,0.996881551,-0.016928392,0.069955016,-0.068192292,-0.040525120,11.544924332
1688321583.932206,1688321583.860968351,0.030855507,0.996933082,-0.016603811,0.069976285,-0.068164311,-0.040495960,11.544992977
1688321583.965359,1688321583.894349098,-0.033821770,-0.996662675,0.016512219,-0.072435813,-0.068068489,-0.040538304,11.541395031
1688321583.999081,1688321583.927731276,0.034480557,0.996664552,-0.016583290,0.072082294,-0.068095816,-0.040518903,11.536657657
1688321584.033650,1688321583.961114407,0.032700685,0.996835312,-0.016619700,0.070525257,-0.068174502,-0.040532606,11.542220573
1688321584.064829,1688321583.994498730,0.033889849,0.996771487,-0.017002245,0.070774316,-0.068151571,-0.040549727,11.537581767
1688321584.098695,1688321584.027884007,0.029826430,0.997089182,-0.016369692,0.068231815,-0.068197104,-0.040533121,11.548130619
1688321584.131891,1688321584.061270714,0.031658400,0.996868251,-0.016647572,0.070528675,-0.068106512,-0.040519735,11.542946933
1688321584.165780,1688321584.094658375,0.032602896,0.996861341,-0.016701225,0.070182532,-0.068120347,-0.040546110,11.543432069
1688321584.198838,1688321584.128047228,0.034341354,0.996745378,-0.016682645,0.071000081,-0.068099971,-0.040508230,11.541058986
1688321584.232593,1688321584.161437035,-0.033450445,-0.996863463,0.016853567,-0.069715577,-0.068229546,-0.040510152,11.541813472
1688321584.313888,1688321584.228220224,0.034779369,0.996625471,-0.016864291,0.072413133,-0.068092881,-0.040553744,11.539267634
1688321584.338913,1688321584.261613607,0.031276290,0.996752801,-0.016554906,0.072329685,-0.068101494,-0.040500360,11.541098860
1688321584.367988,1688321584.295007706,0.031658551,0.997007428,-0.016792478,0.068497717,-0.068156049,-0.040493781,11.546451727
1688321584.401449,1688321584.328403234,0.032769077,0.996761696,-0.016447639,0.071566645,-0.068137323,-0.040513336,11.540792051
1688321584.433565,1688321584.361799955,0.030657983,0.996960403,-0.016604438,0.069673060,-0.068190244,-0.040461409,11.544512071
1688321584.465604,1688321584.395197868,0.027096199,0.997181428,-0.016548195,0.067979070,-0.068186494,-0.040561756,11.549089366
1688321584.498015,1688321584.428596735,0.029691831,0.996998193,-0.016755940,0.069514296,-0.068136613,-0.040509542,11.544888798
1688321584.532558,1688321584.461996555,0.034287636,0.996598186,-0.016837202,0.073026862,-0.068032966,-0.040530473,11.537925514
1688321584.567224,1688321584.495397806,0.034449233,0.996869832,-0.016577361,0.069202452,-0.068111948,-0.040540733,11.542388364
1688321584.599642,1688321584.528799772,-0.040015674,-0.996400545,0.017064069,-0.072756560,-0.068189496,-0.040501986,11.529156962
1688321584.634096,1688321584.562203169,0.033369204,0.996877901,-0.016610078,0.069606412,-0.068206596,-0.040508697,11.542731509
1688321584.666734,1688321584.595607758,0.034209761,0.996647048,-0.016730300,0.072418583,-0.068103584,-0.040477201,11.540144476
1688321584.698771,1688321584.629013300,0.030076956,0.997041333,-0.016491896,0.068789350,-0.068171419,-0.040544004,11.545354594
1688321584.732560,1688321584.662420034,0.030148888,0.996780621,-0.016506207,0.072436069,-0.068105476,-0.040495870,11.542081506
1688321584.765908,1688321584.695827723,0.033962053,0.996777913,-0.016826568,0.070691138,-0.068160174,-0.040519317,11.537849477
1688321584.799030,1688321584.729236603,-0.035307445,-0.996525940,0.016875539,-0.073516336,-0.068112829,-0.040515916,11.536566868
1688321584.833630,1688321584.762646675,0.033716390,0.996839257,-0.016705874,0.069968674,-0.068069113,-0.040542569,11.541898310
1688321584.866312,1688321584.796057940,0.032017520,0.997004131,-0.016323254,0.068492278,-0.068104314,-0.040522098,11.547044149
1688321584.901093,1688321584.829470158,-0.035258487,-0.996645191,0.016868463,-0.071907278,-0.068150011,-0.040548403,11.535069905
1688321584.933127,1688321584.862880230,0.031128935,0.996915111,-0.016572265,0.070118554,-0.068116505,-0.040507436,11.542902727
1688321584.968486,1688321584.896298647,0.032673173,0.996960198,-0.016705748,0.068729511,-0.068149740,-0.040522326,11.544569401
1688321585.000010,1688321584.929718494,0.032658230,0.996897172,-0.016536597,0.069685076,-0.068114061,-0.040539103,11.543413917
1688321585.033498,1688321584.963139534,0.032449791,0.996638249,-0.016731782,0.073343430,-0.068049965,-0.040584887,11.542149893
1688321585.068113,1688321584.996562481,0.030447421,0.996984832,-0.016433922,0.069455924,-0.068212232,-0.040487277,11.542899180
1688321585.100548,1688321585.029986858,0.028728677,0.997188076,-0.016467505,0.067226668,-0.068199829,-0.040559281,11.549876548
1688321585.132644,1688321585.063412428,0.031738971,0.996755518,-0.016672046,0.072063287,-0.068105828,-0.040530543,11.541049070
1688321585.165228,1688321585.096839666,0.034045396,0.996729665,-0.016774159,0.071340826,-0.068100324,-0.040556388,11.541878331
1688321585.199839,1688321585.130268097,0.032468858,0.996831295,-0.016771854,0.070653005,-0.068197562,-0.040519293,11.541572915
1688321585.233062,1688321585.163698196,-0.036486005,-0.996630659,0.016928187,-0.071481024,-0.068168839,-0.040554914,11.534651070
1688321585.266277,1688321585.197129726,0.031320681,0.996869186,-0.016660187,0.070663135,-0.068107342,-0.040496454,11.544382908
1688321585.301457,1688321585.230562687,0.033155486,0.996905291,-0.016738112,0.069284844,-0.068063253,-0.040564991,11.542838434
1688321585.333892,1688321585.263997078,0.030806848,0.997060966,-0.016554903,0.068163802,-0.068061841,-0.040550141,11.544084422
1688321585.367986,1688321585.297432899,-0.037103013,-0.996441888,0.017206800,-0.073694346,-0.067992680,-0.040591358,11.532163469
1688321585.401025,1688321585.330870152,-0.033369190,-0.996700084,0.016919000,-0.072036006,-0.067992075,-0.040574867,11.539705488
1688321585.433764,1688321585.364308834,0.030790549,0.996851857,-0.016589055,0.071155614,-0.067997027,-0.040550334,11.543160482
1688321585.466459,1688321585.397748947,0.031458383,0.996707201,-0.016385729,0.072915248,-0.067995907,-0.040568855,11.541872440
1688321585.499562,1688321585.431190729,0.031272753,0.996937977,-0.016687663,0.069700837,-0.068065805,-0.040585921,11.543710652
1688321585.533547,1688321585.464633703,0.030941084,0.996895196,-0.016575293,0.070483172,-0.068104535,-0.040542082,11.544028172
1688321585.565792,1688321585.498078346,-0.036901416,-0.996491321,0.017016933,-0.073169367,-0.068069312,-0.040479756,11.532250144
1688321585.598305,1688321585.531524420,-0.037924839,-0.996515657,0.017182746,-0.072270363,-0.068110222,-0.040557214,11.533490355
1688321585.631985,1688321585.564971924,0.031385741,0.996932235,-0.016739564,0.069719737,-0.068180089,-0.040544181,11.546284051
1688321585.667216,1688321585.598420858,0.028022102,0.997087663,-0.016570281,0.068966516,-0.068219595,-0.040593326,11.546589835
1688321585.701270,1688321585.631870985,0.038344913,0.996412728,-0.016984087,0.073504306,-0.068033432,-0.040556996,11.529943934
1688321585.734259,1688321585.665323019,0.033581633,0.996773861,-0.016606379,0.070981498,-0.068040009,-0.040550261,11.541406977
