,X,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,0,193.0,2.2703141138808287,0.0008487374008753521,2.268388507,2.269704918,2.270333169,2.270975715,2.27280669,inf
1,0,211.0,2.6396405137109005,0.000876035123593462,2.637209917,2.639170691,2.639570596,2.639995801,2.644962811,inf
2,0,220.0,1.9353520655909093,0.0016272386291376192,1.930429755,1.93421878475,1.935479182,1.936425683,1.940327591,inf
3,1,200.0,3.99511161238,0.004749986676027824,3.979953053,3.9946023517500002,3.9963678405,3.9977559525,4.003599117,299.511161238
4,-1,234.0,3.0052173217820517,0.001381194361255119,3.000846806,3.004375863,3.0051519495,3.005982832,3.00961293,-400.5217321782052
5,0,229.0,3.38445240268559,0.001679725312728251,3.380568922,3.383312673,3.384445443,3.38560625,3.388755906,inf
6,0,214.0,3.7364923900887854,0.0021656671137288805,3.730674958,3.7349865629999996,3.736518371,3.73808539825,3.742748095,inf
7,1,195.0,2.7077959480153844,0.0026061300767569024,2.701115831,2.7058742105,2.707924869,2.7096039925,2.714242562,170.77959480153845
8,-1,212.0,4.7827130414386785,0.0093793989021345,4.763366867,4.7731223975,4.7860977825,4.79060486975,4.798986818,-578.2713041438678
9,0,203.0,4.124503059837439,0.0018731191082364384,4.119784558,4.123137333,4.124398836,4.125988459,4.12885756,inf
10,0,218.0,3.467874965036698,0.003955818109812434,3.456477396,3.4653896215,3.4680137220000002,3.47055479575,3.477011586,inf
11,1,187.0,5.563051661673797,0.010724762270222574,5.533738002,5.5526819075,5.567366063,5.5714634180000004,5.584714295,456.30516616737975
12,-1,191.0,4.5076899418481675,0.003557909848215044,4.500168863,4.5053561375,4.507574583,4.5097603545,4.516419698,-550.7689941848167
13,0,201.0,4.858159472094528,0.0048620876864898695,4.84559388,4.855026451,4.858228475,4.861386886,4.870033845,inf
14,0,186.0,3.099416007451613,0.020761194584941627,3.079419644,3.09092053,3.0970533705,3.10346088125,3.293408403,inf
15,1,203.0,7.238019224586206,0.017679291563099327,7.195232461,7.229778351,7.237121894,7.243063148,7.304488386,623.8019224586207
16,2,210.0,6.25182236562381,0.005231756460507432,6.234796936,6.248336401,6.2516618845,6.255238922749999,6.270691773,212.59111828119052
17,-1,206.0,4.212219700024272,0.007663881114005361,4.192899348,4.2080319175,4.211824135,4.21727128075,4.235101281,-521.2219700024272
18,-2,202.0,5.242384465207921,0.005155229366095935,5.233033988,5.23939218575,5.2421308794999995,5.24437754275,5.275621229,-362.11922326039604
19,0,207.0,5.646129406608696,0.007901577579532125,5.627129915,5.641391988,5.646847376,5.6507743349999995,5.675973096,inf
20,0,191.0,7.987965700450262,0.01536930216942862,7.955211527,7.978105831500001,7.986094622,7.994030468,8.032736954,inf
21,1,194.0,4.908397212989691,0.008458154570991177,4.884219258,4.903488675249999,4.907544119,4.91306967025,4.94024055,390.83972129896904
22,2,203.0,3.901378134901478,0.007207204216871882,3.882994813,3.896063276,3.901901892,3.9055749665,3.917879994,95.06890674507389
23,-1,213.0,7.040040163600938,0.019409356815688405,6.992584918,7.030538084,7.037108413,7.044218376,7.112373886,-804.0040163600938
24,-2,198.0,6.010575167727273,0.012587414948740301,5.969074946,6.0044911362499995,6.0124749170000005,6.01934234625,6.033534243,-400.5287583863637
25,0,204.0,6.314063123799021,0.007782257535704765,6.291276352,6.3090582490000005,6.313932701000001,6.3181817375,6.338745603,inf
26,0,201.0,6.772794271870646,0.008243088402911809,6.755448741,6.76614004,6.772596155,6.779434624,6.792051878,inf
