__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1688326158.358794,1688326158.311144590,0.999847210,0.001309594,-0.002026482,-0.017312852,2.638789156,1.435249483,3.646859279
1688326158.391035,1688326158.345064640,0.999849988,0.001272775,-0.001715374,-0.017188361,2.639581967,1.435736342,3.647982473
1688326158.424779,1688326158.378988981,0.999843954,0.001629883,-0.002321263,-0.017436234,2.637989445,1.434853821,3.645797266
1688326158.458377,1688326158.412917614,0.999851640,0.001157889,-0.001641890,-0.017107355,2.639515673,1.435691286,3.647880087
1688326158.492117,1688326158.446850538,0.999850457,0.001164397,-0.001731789,-0.017167087,2.639729951,1.435781176,3.648204232
1688326158.525188,1688326158.480787516,0.999845878,0.001577145,-0.001997635,-0.017370716,2.638827687,1.435339224,3.646966430
1688326158.556998,1688326158.514728785,0.999848775,0.001181305,-0.002039037,-0.017230011,2.638522217,1.435149203,3.646524175
1688326158.591469,1688326158.548674345,0.999857945,0.000709381,-0.001603998,-0.016763477,2.640902744,1.436449142,3.649805064
1688326158.624245,1688326158.582623959,0.999851585,0.000890497,-0.001967847,-0.017092192,2.639033994,1.435390562,3.647205086
1688326158.661021,1688326158.616577864,0.999850752,0.001316659,-0.001670448,-0.017144962,2.639522981,1.435680969,3.647876416
1688326158.692225,1688326158.650535822,0.999844922,0.001467656,-0.001488588,-0.017486046,2.640270001,1.436105585,3.648912946
1688326158.724737,1688326158.684484720,0.999848232,0.001352342,-0.002138346,-0.017236942,2.638446858,1.435099544,3.646399809
1688326158.757963,1688326158.717729092,0.999848284,0.001316444,-0.001888589,-0.017265812,2.639254303,1.435499271,3.647533605
1688326158.792485,1688326158.750972271,0.999850126,0.001070448,-0.001564254,-0.017208519,2.639868820,1.435894361,3.648338461
1688326158.826164,1688326158.784214258,0.999849413,0.001097492,-0.001982316,-0.017205168,2.638783764,1.435257033,3.646851514
1688326158.857679,1688326158.817455769,0.999848743,0.001143066,-0.001558159,-0.017284558,2.640204944,1.436051099,3.648855695
1688326158.893315,1688326158.850696087,0.999851809,0.001196729,-0.001638616,-0.017095101,2.639672776,1.435759761,3.648124067
1688326158.924766,1688326158.883935452,0.999845175,0.001719475,-0.001890382,-0.017409621,2.639024297,1.435405308,3.647181462
1688326158.959727,1688326158.917173862,0.999846907,0.001469902,-0.001702271,-0.017352350,2.639518682,1.435678731,3.647905518
1688326158.991666,1688326158.950411081,0.999844563,0.001575123,-0.001802778,-0.017467662,2.639537407,1.435730176,3.647920344
1688326159.025444,1688326158.983647346,0.999849250,0.001427579,-0.001850476,-0.017205112,2.640006133,1.435885945,3.648520213
1688326159.059804,1688326159.016882896,0.999845595,0.001494203,-0.001715833,-0.017424373,2.639143720,1.435465198,3.647375332
1688326159.092344,1688326159.050117254,0.999848425,0.001241461,-0.001848995,-0.017267526,2.639352380,1.435603255,3.647670921
1688326159.123314,1688326159.083350658,0.999849229,0.001489087,-0.001887878,-0.017197048,2.639276279,1.435569577,3.647555474
1688326159.158426,1688326159.116583109,0.999848264,0.001449072,-0.001703283,-0.017275636,2.639654459,1.435783808,3.648072101
1688326159.191610,1688326159.149814367,0.999852510,0.001166953,-0.002068722,-0.017009332,2.638645535,1.435215808,3.646677959
1688326159.224657,1688326159.183044910,0.999845151,0.001258989,-0.001491165,-0.017489017,2.640786571,1.436372446,3.649645386
1688326159.260072,1688326159.216274500,0.999845310,0.001325607,-0.001972372,-0.017427230,2.639046017,1.435420361,3.647215777
1688326159.293260,1688326159.249502897,0.999847823,0.001283446,-0.002091784,-0.017271623,2.638919035,1.435387054,3.647067006
1688326159.324007,1688326159.282730579,0.999846095,0.001469562,-0.001782654,-0.017391082,2.639347113,1.435580374,3.647626819
1688326159.359709,1688326159.315957069,0.999847682,0.001405979,-0.001676450,-0.017315473,2.639257314,1.435523171,3.647499786
1688326159.390908,1688326159.349182367,0.999848602,0.001082411,-0.001693258,-0.017283942,2.640033580,1.435960912,3.648590456
1688326159.425477,1688326159.382406950,0.999847953,0.001064890,-0.001259559,-0.017359467,2.640645300,1.436331326,3.649436840
1688326159.459175,1688326159.415630341,0.999847439,0.001390052,-0.001641819,-0.017334095,2.640102455,1.436018787,3.648681336
1688326159.490971,1688326159.448853016,0.999849642,0.001265125,-0.001920527,-0.017187337,2.639530673,1.435688038,3.647898981
1688326159.525176,1688326159.482074738,0.999848908,0.001192579,-0.001779734,-0.017250288,2.639580282,1.435734987,3.647960486
1688326159.562178,1688326159.515295267,0.999850275,0.001325665,-0.001679373,-0.017171216,2.639902593,1.435877902,3.648393179
1688326159.595059,1688326159.548514605,0.999843927,0.001506408,-0.001764509,-0.017513940,2.639913840,1.435905501,3.648440735
1688326159.627261,1688326159.581733465,0.999847549,0.001524924,-0.001927887,-0.017286902,2.639805558,1.435847199,3.648267520
1688326159.659547,1688326159.614950895,0.999846164,0.001402136,-0.001924283,-0.017377578,2.639004103,1.435447159,3.647187088
1688326159.691815,1688326159.648167372,0.999848957,0.001344876,-0.001654637,-0.017248684,2.639650700,1.435759666,3.648064823
1688326159.724527,1688326159.681387663,0.999846934,0.001416082,-0.001487474,-0.017374996,2.639903559,1.435920132,3.648472358
1688326159.758276,1688326159.714781284,0.999851772,0.000965243,-0.001584391,-0.017116984,2.640001264,1.435957929,3.648565395
1688326159.792902,1688326159.748412371,0.999845553,0.001155328,-0.001589682,-0.017464481,2.640155583,1.436015521,3.648793828
1688326159.825592,1688326159.782044649,0.999846690,0.001354310,-0.001725511,-0.017371930,2.639719189,1.435809193,3.648188785
1688326159.892880,1688326159.849313974,0.999848393,0.001371700,-0.001935084,-0.017250054,2.638978433,1.435401019,3.647151126
1688326159.924666,1688326159.882950783,0.999845667,0.001396525,-0.001795203,-0.017420349,2.639779083,1.435848475,3.648215929
1688326159.993992,1688326159.950228691,0.999851015,0.001227233,-0.001599518,-0.017143052,2.639909146,1.435924466,3.648421749
1688326160.024885,1688326159.983870029,0.999849931,0.001201580,-0.001785308,-0.017189632,2.639093439,1.435490875,3.647308680
1688326160.061356,1688326160.017512798,0.999853534,0.000796550,-0.001632942,-0.017017913,2.640139386,1.435999694,3.648727722
1688326160.264060,1688326160.051156998,0.999847980,0.001180560,-0.001699809,-0.017312822,2.639458272,1.435650652,3.647793785
1688326160.264097,1688326160.084802628,0.999848095,-0.000624933,-0.002055796,-0.017296530,2.643123183,1.437538507,3.652626830
1688326160.264106,1688326160.118449688,0.999850297,0.001161863,-0.001776376,-0.017172026,2.639567258,1.435675568,3.647946077
1688326160.264115,1688326160.152098417,0.999845264,0.001398659,-0.001836317,-0.017439047,2.639325675,1.435569242,3.647621337
1688326160.264165,1688326160.185748577,0.999850265,0.001093134,-0.001795899,-0.017176352,2.639114062,1.435499404,3.647308595
1688326160.264175,1688326160.219399929,0.999851640,0.001122104,-0.001858535,-0.017087562,2.638975168,1.435406219,3.647139193
1688326160.292059,1688326160.253052950,0.999857041,0.000378656,-0.001649211,-0.016823647,2.640118961,1.435988254,3.648692470
1688326160.325380,1688326160.286707401,0.999845283,0.001246791,-0.001638503,-0.017469113,2.640465415,1.436250180,3.649193608
1688326160.357859,1688326160.320363522,0.999847854,0.001272518,-0.001819650,-0.017301383,2.639281910,1.435590857,3.647529709
1688326160.393214,1688326160.354021072,0.999847514,0.001240339,-0.001817713,-0.017323552,2.638949852,1.435404450,3.647103504
1688326160.425425,1688326160.387679577,0.999851534,0.000743760,-0.001359886,-0.017161193,2.640865342,1.436437033,3.649708339
1688326160.460902,1688326160.421339989,0.999848880,0.001166594,-0.001730978,-0.017258591,2.639524095,1.435697039,3.647890261
1688326160.493382,1688326160.455002069,0.999843765,0.001451410,-0.001706989,-0.017533523,2.639363938,1.435599402,3.647671838
1688326160.525455,1688326160.488665342,0.999845568,0.001362981,-0.001556593,-0.017451607,2.639755714,1.435816072,3.648217842
1688326160.558959,1688326160.522330046,0.999844632,0.001376409,-0.001765781,-0.017484263,2.639624715,1.435740583,3.648004463
1688326160.594273,1688326160.555996418,0.999849179,0.001298015,-0.001572466,-0.017247107,2.640089658,1.435986107,3.648685734
1688326160.626583,1688326160.589663982,0.999853517,0.000781920,-0.001337924,-0.017045353,2.640908742,1.436458971,3.649814505
1688326160.660872,1688326160.623333216,0.999846830,0.001383586,-0.001633824,-0.017370460,2.639756945,1.435828020,3.648216450
1688326160.692023,1688326160.657004118,0.999847351,0.001041443,-0.001431398,-0.017382200,2.640782723,1.436392946,3.649635174
1688326160.727195,1688326160.690676212,0.999844565,0.001555131,-0.001693108,-0.017480298,2.639380531,1.435600807,3.647697140
1688326160.760107,1688326160.724343300,0.999848286,0.001166036,-0.001508406,-0.017313847,2.640432885,1.436197255,3.649145269
1688326160.791575,1688326160.757550001,0.999847562,0.001377824,-0.001784358,-0.017313864,2.638901298,1.435369930,3.647045418
1688326160.869611,1688326160.823959112,0.999856221,0.000689519,-0.001479162,-0.016878194,2.640095011,1.435995362,3.648670378
1688326160.897585,1688326160.857161522,0.999845321,0.001411435,-0.001772501,-0.017441330,2.639560219,1.435714270,3.647949090
1688326160.927466,1688326160.890362978,0.999846903,0.001140061,-0.001896892,-0.017357198,2.639280671,1.435589504,3.647593705
1688326160.959611,1688326160.923563004,0.999852764,0.001002147,-0.001627142,-0.017052819,2.639116778,1.435457390,3.647324571
1688326160.993760,1688326160.956761837,0.999847455,0.001095803,-0.001735129,-0.017345164,2.639741522,1.435818933,3.648203645
1688326161.027624,1688326160.989959240,0.999843913,0.001625780,-0.001591195,-0.017520663,2.639596853,1.435781143,3.648001461
1688326161.061566,1688326161.023155212,0.999846025,0.001395092,-0.001778736,-0.017401589,2.639316972,1.435552140,3.647611946
1688326161.092901,1688326161.056349754,0.999848034,0.001236617,-0.001588541,-0.017316374,2.639308471,1.435615282,3.647578920
1688326161.126674,1688326161.089543343,0.999848688,0.001470520,-0.002074213,-0.017208623,2.639221087,1.435563861,3.647478515
1688326161.161572,1688326161.122735500,0.999849444,0.001528664,-0.001710295,-0.017199655,2.639386610,1.435647692,3.647678775
1688326161.192508,1688326161.155926228,0.999845307,0.001679422,-0.001910084,-0.017403844,2.638994416,1.435376668,3.647178604
1688326161.227809,1688326161.189115763,0.999849388,0.001111874,-0.001905682,-0.017214362,2.639426775,1.435658150,3.647764920
1688326161.259435,1688326161.222303867,0.999846996,0.001494066,-0.001841036,-0.017330984,2.639188585,1.435513780,3.647422072
1688326161.292816,1688326161.255491018,0.999849729,0.001159876,-0.001813195,-0.017201350,2.639732791,1.435811730,3.648192383
1688326161.325968,1688326161.288676500,0.999846674,0.001262345,-0.001914984,-0.017359935,2.638686962,1.435232695,3.646732127
1688326161.360186,1688326161.321860552,0.999851357,0.000947085,-0.001693417,-0.017131797,2.639990338,1.435934802,3.648543788
1688326161.392724,1688326161.355043650,0.999844014,0.001348538,-0.001696159,-0.017528596,2.639716380,1.435807850,3.648119928
1688326161.426275,1688326161.388225317,0.999846554,0.001317183,-0.001870930,-0.017367563,2.639380120,1.435618809,3.647691116
1688326161.461878,1688326161.421405554,0.999852406,0.000774498,-0.001538944,-0.017093802,2.640102604,1.436001966,3.648683820
1688326161.493326,1688326161.454584360,0.999847991,0.001292861,-0.001691320,-0.017304980,2.640219151,1.436055807,3.648848784
1688326161.527673,1688326161.487762213,0.999846513,0.001330243,-0.001762040,-0.017380351,2.639550503,1.435712720,3.647922227
1688326161.560380,1688326161.520938635,0.999849915,0.001434882,-0.001832071,-0.017167791,2.639282618,1.435566581,3.647592938
1688326161.593873,1688326161.554113865,0.999851078,0.000903069,-0.001656091,-0.017154128,2.639683953,1.435772782,3.648075983
1688326161.628089,1688326161.587287664,0.999849256,0.001234435,-0.001528731,-0.017251236,2.640107956,1.436021821,3.648702282
1688326161.660549,1688326161.620460033,0.999848589,0.001220943,-0.001766602,-0.017268080,2.639424084,1.435671827,3.647773229
1688326161.694932,1688326161.653631210,0.999848525,0.001242089,-0.001751858,-0.017271799,2.639580345,1.435724772,3.647959121
1688326161.726008,1688326161.686800718,0.999850115,0.001078425,-0.001633446,-0.017202235,2.639287133,1.435577124,3.647547564
1688326161.760702,1688326161.719974756,0.999848705,0.001081235,-0.001551277,-0.017291378,2.640049738,1.435977030,3.648611167
1688326161.793556,1688326161.753183842,0.999844702,0.001473095,-0.001911423,-0.017457042,2.638848429,1.435347164,3.646965643
1688326161.827457,1688326161.786391497,0.999849361,0.001097950,-0.001719232,-0.017236426,2.639955592,1.435930624,3.648477336
1688326161.860522,1688326161.819598198,0.999850412,0.001534408,-0.001705391,-0.017143259,2.639511582,1.435733893,3.647914201
1688326161.893477,1688326161.852803230,0.999849160,0.001340733,-0.002081900,-0.017190860,2.638368561,1.435107005,3.646296522
1688326161.928498,1688326161.886007071,0.999853367,0.000997235,-0.001684623,-0.017012097,2.639788192,1.435847959,3.648256052
