,X,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,0,212.0,-0.9421412521367925,0.1895510837597415,-1.101514375,-1.0935755335,-1.072739605,-0.78691227275,-0.484816303,-inf
1,0,217.0,-0.0487392066359447,0.007039047028538491,-0.055588767,-0.053587084,-0.051390374,-0.046352174,-0.019763453,-inf
2,0,206.0,0.004732574567961164,7.00051543276061e-05,0.004596547,0.0046869545,0.0047194955,0.004767593,0.004917229,inf
3,1,191.0,-0.02706002280628272,0.005884963781081826,-0.031824153,-0.0308073575,-0.029683222,-0.0273694415,-0.013587941,-102.70600228062827
4,-1,194.0,0.002583882463917526,7.458824104174039e-05,0.002371764,0.0025347110000000003,0.002588543,0.002639623,0.002776593,-100.25838824639175
5,0,205.0,-0.9850848317219513,0.15620456193329052,-1.086681711,-1.07496914,-1.049443174,-0.994311495,-0.484376728,-inf
6,0,215.0,-0.004440736176744186,0.0001065550015083098,-0.004778855,-0.0044887320000000005,-0.0044277,-0.0043698769999999994,-0.004177788,-inf
7,1,200.0,-1.032417303785,0.005448952608758183,-1.039929169,-1.0359428127499999,-1.033297916,-1.030527444,-1.004931932,-203.2417303785
8,-1,202.0,1.0132936002623762,0.002342909242020994,1.00152249,1.01203859,1.0142040455,1.01496251025,1.016453561,-201.32936002623762
9,0,244.0,-0.03922724934426229,0.006881465005019339,-0.059084332,-0.045374849,-0.03645264,-0.033370206250000006,-0.029594117,-inf
10,0,212.0,-1.7467901178679248,0.1679891388729575,-2.117851879,-1.872460405,-1.758745083,-1.6295219300000001,-1.203879617,-inf
11,1,179.0,-0.01216248569273743,0.00011616542749212232,-0.012416556,-0.012251030999999999,-0.012165246,-0.012081949,-0.011860127,-101.21624856927373
12,-1,202.0,-0.03519539665346534,0.005691064088118086,-0.049410508,-0.03619592175,-0.033332327,-0.031549442000000004,-0.027394862,-96.48046033465346
13,0,250.0,1.503909423564,0.2179634111569387,1.157106123,1.31915531425,1.438795803,1.73166935275,1.975233855,inf
14,0,250.0,-0.033257039932,0.003457032453051109,-0.043323211,-0.03365872524999999,-0.0319598825,-0.03102944725,-0.028925335,-inf
15,1,231.0,0.9816230876450217,0.009989984333354397,0.943811527,0.975788959,0.982359843,0.988404398,1.004746883,-1.8376912354978292
16,2,207.0,-1.0449161419371982,0.0142418232360111,-1.054541457,-1.0524580175,-1.050512877,-1.044223461,-0.983067379,-152.24580709685992
17,-1,238.0,-0.019156595105042015,0.00047543951889668395,-0.019664073,-0.0194931105,-0.019416489000000002,-0.01865603475,-0.018036164,-98.0843404894958
18,-2,201.0,-0.015254043855721395,9.087998873725769e-05,-0.015461907,-0.015323171,-0.015258636,-0.01519462,-0.01492177,-99.23729780721393
19,0,221.0,-0.03092414809049774,0.00043006873675293403,-0.031347313,-0.031252571,-0.03111671,-0.03063539,-0.028879065,-inf
20,0,198.0,0.994645774090909,0.005685996952482671,0.960900476,0.9918159555,0.995184033,0.99901106975,1.003284354,inf
21,1,214.0,-0.03964558285981309,0.0004903074963823822,-0.04018455,-0.039983703,-0.0397812985,-0.03942291775,-0.035713911,-103.9645582859813
22,2,218.0,-2.050720154174312,0.07483877375828633,-2.122738507,-2.1055393045,-2.073910422,-2.0217512615,-1.657891656,-202.53600770871563
23,-1,201.0,1.9778113676318405,0.03181397499990744,1.84579125,1.972178089,1.989998471,1.997979326,2.010427003,-297.78113676318407
24,-2,218.0,0.9692847120825688,0.022269894707283452,0.907464279,0.9543727289999999,0.974502652,0.9864709832499999,0.998816404,-148.46423560412845
25,0,220.0,-1.0951088460999998,0.014080276592870542,-1.112095861,-1.1058538007499998,-1.0986071595,-1.08824584325,-1.017823676,-inf
26,0,283.0,0.9869790428339223,0.006969287555955,0.955483136,0.9837392235,0.989336079,0.9920039585,0.995832108,inf
