__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1687963297.147860,1687963297.092169762,0.999060262,-0.010079426,0.039783062,0.013939365,2.866175419,1.550204561,4.274865182
1687963297.184695,1687963297.125577688,0.999674028,-0.008535831,0.015546594,0.018365179,2.827871326,1.529640967,4.217687302
1687963297.218749,1687963297.158986807,0.998124806,-0.004711151,0.060369217,0.008957309,2.896805205,1.567095470,4.320734728
1687963297.251189,1687963297.192396879,0.997347171,-0.040392801,0.056411305,0.022018318,2.917195452,1.577995124,4.351090636
1687963297.284240,1687963297.225808144,0.999144214,-0.030094152,0.004158898,0.028069289,2.826201823,1.528679492,4.215091106
1687963297.316300,1687963297.259220600,0.999687642,-0.010811390,-0.001474085,0.022484640,2.799330923,1.514246979,4.175050266
1687963297.351724,1687963297.292634249,0.998829782,-0.036297980,0.015429364,0.027990305,2.848579536,1.540783689,4.248465888
1687963297.383528,1687963297.326049089,0.998747677,-0.037758466,-0.006712301,0.032129751,2.810646098,1.520091590,4.191721400
1687963297.414474,1687963297.359462500,0.997420226,-0.003505414,0.071410099,0.006418860,2.911816646,1.575271748,4.343066476
1687963297.449932,1687963297.392780066,0.999680002,-0.002012000,0.020013352,0.015339835,2.830944673,1.531298310,4.222227324
1687963297.482688,1687963297.426097870,0.999101152,-0.030425572,0.014163312,0.025895416,2.844171378,1.538378202,4.241892131
1687963297.517246,1687963297.459903717,0.996307343,0.004756037,0.085718329,0.001194371,2.922990946,1.581402839,4.359878004
1687963297.552992,1687963297.493713856,0.999618535,-0.014941667,0.000180900,0.023227099,2.807406726,1.518482134,4.186954152
1687963297.581990,1687963297.527527571,0.997373999,-0.012346932,0.070799777,0.008947091,2.918765890,1.578943929,4.353424800
1687963297.617929,1687963297.561345577,0.998596623,-0.042093530,0.004123318,0.031873447,2.830518734,1.530864183,4.221401547
1687963297.651758,1687963297.595166922,0.999130490,-0.015835869,-0.026488609,0.028032899,2.753157390,1.489086126,4.105914628
1687963297.683360,1687963297.628992558,0.995897495,-0.077525632,0.024359066,0.039806918,2.879645447,1.557394627,4.294833496
1687963297.717427,1687963297.662822247,0.999772590,-0.001103417,0.014377962,0.015710682,2.819405363,1.525096772,4.204922049
1687963297.748589,1687963297.696655750,0.993120567,-0.026975243,0.113690433,0.007639427,2.973570804,1.608422516,4.435457427
1687963297.784001,1687963297.730493069,0.999720891,-0.009754970,-0.002360355,0.021387134,2.796374428,1.512636956,4.170645722
