__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1687964706.251841,1687964706.181897163,-0.020045643,0.998382175,0.017536626,0.050234924,-0.273526224,-0.149000424,4.183706098
1687964706.282945,1687964706.215466976,-0.007918073,0.993970344,0.016082280,0.108158457,-0.270347235,-0.147402132,4.138552502
1687964706.314219,1687964706.249039173,-0.008936449,0.999013444,0.016798478,0.040122545,-0.272643092,-0.148674000,4.174165221
1687964706.350338,1687964706.282613754,-0.038803642,0.998549538,0.018671109,0.032319863,-0.273865015,-0.149026221,4.187646926
1687964706.384237,1687964706.316190958,0.000979309,0.999200845,0.016779806,0.036260240,-0.272687961,-0.148717983,4.173760593
1687964706.414716,1687964706.349770546,-0.001314362,0.998870027,0.016787520,0.044427774,-0.273822982,-0.149196003,4.187830317
1687964706.450135,1687964706.383352757,0.006322925,0.999542997,0.017344597,0.023934372,-0.273916679,-0.149183019,4.188261135
1687964706.483002,1687964706.416937590,-0.028065579,0.999300250,0.018326899,0.016548082,-0.273574044,-0.148852869,4.182525716
1687964706.515153,1687964706.450524807,-0.007302202,0.997971661,0.017054977,0.060874358,-0.273276283,-0.148888071,4.179659680
1687964706.547015,1687964706.484114408,-0.010988960,0.998757965,0.017516831,0.045308687,-0.273563333,-0.148996269,4.183631490
1687964706.581703,1687964706.517706871,-0.025172495,0.996208226,0.016434020,0.081631826,-0.272406762,-0.148139716,4.168337605
1687964706.614953,1687964706.551301479,0.014756675,0.998787397,0.015934233,0.044180622,-0.272575938,-0.148677476,4.172141124
1687964706.648626,1687964706.584898949,0.028173549,0.998979098,0.015494133,0.031734764,-0.272771631,-0.148795766,4.174759202
1687964706.683874,1687964706.618498802,0.015080964,0.999339826,0.016348035,0.028725850,-0.272678629,-0.148793520,4.173373086
1687964706.716497,1687964706.652101040,0.000104925,0.998211027,0.016932106,0.057309273,-0.273416436,-0.149002316,4.183089922
1687964706.749354,1687964706.685699940,-0.042765270,0.997479335,0.018055421,0.053672819,-0.273410927,-0.148839762,4.182025881
1687964706.782669,1687964706.719056845,-0.020673155,0.998815639,0.017433754,0.040426026,-0.273886337,-0.149158392,4.188556169
1687964706.814958,1687964706.752413750,-0.034610197,0.994557608,0.016456040,0.096903139,-0.271407218,-0.147598822,4.154954370
1687964706.850780,1687964706.785770893,-0.017379445,0.999234027,0.017434831,0.030413695,-0.273877183,-0.149152416,4.188288762
1687964706.881458,1687964706.819128036,-0.037021707,0.998026799,0.017787053,0.047496925,-0.273688977,-0.148986439,4.185466573
1687964706.913650,1687964706.852485180,-0.017631836,0.999210799,0.017529558,0.030964866,-0.273811904,-0.149105274,4.186883655
1687964706.948452,1687964706.885842323,-0.018477154,0.998960299,0.017694270,0.037711011,-0.273741109,-0.149011682,4.186293482
1687964706.982822,1687964706.919199228,-0.013051762,0.998812268,0.017299428,0.043634735,-0.273810831,-0.149126628,4.187866144
1687964707.014273,1687964706.952556372,-0.063056700,0.993228432,0.017198741,0.096108000,-0.271293027,-0.147410523,4.152507250
1687964707.048527,1687964706.985913515,0.025466980,0.999262927,0.015899284,0.023913599,-0.272745932,-0.148824269,4.175348443
1687964707.082221,1687964707.019270658,0.005426077,0.998616757,0.016604285,0.049575992,-0.273636261,-0.149117042,4.186328097
1687964707.115544,1687964707.052628040,0.004182169,0.998912583,0.016837895,0.043263977,-0.273721505,-0.149179311,4.185445949
1687964707.149742,1687964707.085985184,-0.009998808,0.997440052,0.017050777,0.068719806,-0.273063880,-0.148806380,4.178106879
1687964707.181618,1687964707.119342327,0.001568131,0.998962866,0.016530518,0.042396305,-0.272638617,-0.148674412,4.174003774
1687964707.214312,1687964707.152699471,-0.009576780,0.999428475,0.017522992,0.027266957,-0.273927933,-0.149221181,4.188294878
1687964707.249390,1687964707.186056852,0.002263386,0.999064927,0.017067661,0.039648178,-0.273731847,-0.149140930,4.186066057
1687964707.283564,1687964707.219413996,0.003209709,0.998699069,0.016760813,0.048047461,-0.273610858,-0.149146545,4.185139599
1687964707.315025,1687964707.252771139,-0.010331838,0.999048873,0.017557222,0.038543935,-0.273818346,-0.149122809,4.187921513
1687964707.350404,1687964707.286128759,-0.050184265,0.997982940,0.018491975,0.034180365,-0.273708241,-0.148928393,4.185941472
1687964707.382247,1687964707.319485903,0.034066628,0.999019887,0.015557039,0.023563115,-0.272715655,-0.148841860,4.173252771
1687964707.414809,1687964707.352843285,0.004789854,0.998801475,0.016604479,0.045783183,-0.273707058,-0.149150246,4.186016809
1687964707.448039,1687964707.386200666,0.026545582,0.998049101,0.015545265,0.054329200,-0.272329976,-0.148684068,4.170209188
1687964707.481834,1687964707.419558048,-0.022221039,0.998945331,0.017638489,0.036097400,-0.273611289,-0.148994351,4.184006025
1687964707.515676,1687964707.452915192,-0.008473642,0.997919679,0.017037512,0.061593270,-0.273200932,-0.148895859,4.179921245
1687964707.551582,1687964707.486272812,0.004043455,0.996832670,0.016330509,0.077719044,-0.272608747,-0.148624230,4.171463376
1687964707.583474,1687964707.519630194,-0.017122635,0.998918754,0.016824730,0.039813894,-0.272641662,-0.148612244,4.172840168
1687964707.616388,1687964707.552987576,-0.022279919,0.998426048,0.017515159,0.048385733,-0.273695220,-0.149031891,4.186453065
1687964707.647302,1687964707.586345196,-0.005608339,0.998386815,0.017273687,0.053792301,-0.273457780,-0.149061472,4.182897201
1687964707.683937,1687964707.619702578,-0.008064550,0.998900241,0.017196310,0.042857444,-0.273868087,-0.149154519,4.188343279
1687964707.715227,1687964707.653059959,0.048018792,0.998559258,0.015404273,0.018254758,-0.272593533,-0.148805745,4.171333881
1687964707.747943,1687964707.686417580,0.021603375,0.999255549,0.015922107,0.027716929,-0.272825785,-0.148839941,4.176137894
1687964707.782399,1687964707.719771147,-0.001375262,0.996529812,0.016608412,0.081513968,-0.272431967,-0.148525418,4.169393729
1687964707.815945,1687964707.753124952,0.003029661,0.996579428,0.016013783,0.080979257,-0.272653637,-0.148370081,4.172468390
1687964707.849057,1687964707.786478758,0.007207852,0.999216924,0.016120629,0.035407375,-0.272752926,-0.148729521,4.175135559
1687964707.882653,1687964707.819832563,0.007637146,0.998510325,0.016640603,0.051375675,-0.273592051,-0.149128926,4.185161831
1687964707.915917,1687964707.853186369,0.027345338,0.999479733,0.016173752,0.005196109,-0.272434621,-0.148604751,4.167830192
1687964707.948320,1687964707.886540174,-0.004330358,0.998608409,0.016847004,0.049756910,-0.273498057,-0.148967706,4.183423624
1687964707.982486,1687964707.919893980,-0.013093101,0.997342168,0.017002414,0.069623324,-0.272926276,-0.148755055,4.175443024
1687964708.015843,1687964707.953247786,-0.021534078,0.999269959,0.017730325,0.026071244,-0.273707716,-0.149007388,4.184569834
1687964708.050292,1687964707.986601591,-0.002795357,0.998121075,0.016905087,0.058813133,-0.273307143,-0.148959980,4.180843377
1687964708.083351,1687964708.019955397,-0.032129918,0.998012200,0.017685319,0.051252679,-0.273534165,-0.148882815,4.182485484
1687964708.115928,1687964708.053308964,0.046273326,0.997562186,0.015104674,0.050013298,-0.272687014,-0.148888563,4.175105893
1687964708.148535,1687964708.086662769,0.033460760,0.997441779,0.015188576,0.061290821,-0.272190815,-0.148606529,4.168338462
1687964708.182512,1687964708.120016575,-0.019243980,0.999076457,0.017574533,0.034160764,-0.273951207,-0.149194802,4.188798461
1687964708.216732,1687964708.153370380,-0.004762793,0.997629701,0.017052561,0.066483949,-0.273131658,-0.148858824,4.177668231
1687964708.251784,1687964708.186724186,0.016634330,0.998970227,0.016287655,0.038942821,-0.273899993,-0.149292376,4.188590756
1687964708.280502,1687964708.220077991,0.002356618,0.999599398,0.016304104,0.023013683,-0.272664556,-0.148621870,4.172960429
1687964708.317122,1687964708.253431559,-0.011704973,0.999601611,0.017752634,0.018527720,-0.273614502,-0.149023435,4.184045665
