__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1687965970.834249,1687965970.754645109,0.014481521,-0.998717740,-0.014339749,0.046341493,-0.876541893,-0.363441562,11.920839415
1687965970.864110,1687965970.787841797,-0.013785517,0.999425345,0.023686761,-0.019946827,-0.883669344,-0.365686277,12.016938064
1687965970.949676,1687965970.887424469,0.016726663,-0.999017536,-0.016792363,0.037445927,-0.879784028,-0.364401602,11.972499820
1687965971.075247,1687965971.020183086,-0.028369414,-0.992632033,-0.017770788,-0.116451806,-0.876052961,-0.362390758,11.901801980
1687965971.313239,1687965971.252461195,-0.022497585,-0.992429453,-0.018341996,-0.119336541,-0.879976819,-0.363609414,11.974180271
1687965971.646288,1687965971.584412336,-0.054926352,-0.991903076,-0.015187436,-0.113493281,-0.876910655,-0.361759650,11.933414210
1687965972.379080,1687965972.314579964,-0.067208249,-0.989020072,-0.016394262,-0.130589344,-0.873680870,-0.360429800,11.893658220
1687965972.545710,1687965972.480558872,-0.015987802,-0.998407986,-0.009648882,0.053223888,-0.875676704,-0.362839197,11.901355350
1687965972.645918,1687965972.580174923,0.005292477,-0.999715525,-0.011984384,0.019930706,-0.881015353,-0.363899713,11.966505320
1687965972.746697,1687965972.679779291,-0.016847001,-0.993771041,-0.018475373,-0.108599990,-0.880615677,-0.364059070,11.995233997
1687965972.781823,1687965972.712978125,-0.019481912,-0.994011527,-0.017957711,-0.106014430,-0.883310135,-0.364171622,12.011065234
1687965972.878206,1687965972.812566996,0.022299769,-0.999484156,-0.010784680,0.020440980,-0.882190121,-0.364171380,11.975070236
1687965973.012024,1687965972.945333719,0.051854509,-0.998258117,-0.018890339,0.020856577,-0.880450275,-0.363833943,11.973802862
1687965973.078901,1687965973.011709213,0.063363323,-0.997793869,-0.018158994,0.007920609,-0.882696062,-0.363943693,11.994576410
1687965973.278516,1687965973.210804939,-0.044065042,-0.993877844,-0.015848587,-0.100069607,-0.877691029,-0.362702504,11.934564675
1687965973.345343,1687965973.277159929,0.063860882,-0.996663900,-0.015985612,-0.048242290,-0.880389996,-0.363985595,11.976497094
1687965973.413101,1687965973.343509436,-0.063770302,-0.989589553,-0.014114374,-0.128244489,-0.873525215,-0.360636312,11.886548542
1687965973.444907,1687965973.376685143,-0.057092527,-0.991310239,-0.015126692,-0.117539937,-0.877314143,-0.362011112,11.937855933
1687965973.546513,1687965973.477150202,-0.050743354,-0.991772989,-0.014148870,-0.116667305,-0.876579512,-0.362559730,11.928988898
1687965973.611089,1687965973.544334650,-0.022005980,-0.999324412,-0.011450300,0.027117265,-0.877497756,-0.363064034,11.926587953
1687965973.711070,1687965973.645119905,0.087555693,-0.995833044,-0.023053747,0.010912091,-0.877973857,-0.361708859,11.933880011
1687965974.078557,1687965974.014750242,0.100886087,-0.993971553,-0.020708736,0.037599175,-0.875383849,-0.359752153,11.894134597
1687965974.146080,1687965974.081970215,0.083337154,-0.996248420,-0.020234921,-0.011599638,-0.880094783,-0.362235931,11.957219497
1687965974.346868,1687965974.283656359,-0.015193268,-0.993417416,-0.016397714,-0.112348192,-0.880808559,-0.364392790,11.995974702
1687965974.780553,1687965974.718627214,0.010415376,-0.998806689,-0.018064157,0.044163382,-0.881494297,-0.364625086,11.983932032
1687965974.880933,1687965974.818814278,0.071589282,-0.997212523,-0.019375039,0.008171085,-0.881185524,-0.363205401,11.969638512
