,X,count,mean,std,min,25%,50%,75%,max,trueRelErr,Y,count,mean,std,min,25%,50%,75%,max,trueRelErr,Z,count,mean,std,min,25%,50%,75%,max,trueRelErr
0,0,193.0,2.3743781641347153,0.0028965732023869223,2.368133277,2.372947007,2.373815068,2.374652251,2.380761453,inf,0,193.0,1.3766133176735753,0.0016305002855452723,1.372880131,1.37584923,1.376359332,1.376816564,1.380173037,inf,3.0,193.0,3.1338303744507776,0.0038349537426849403,3.125587194,3.13194801,3.133081587,3.134167477,3.14231618,0.04461012481692587
1,0,197.0,2.745031086416244,0.00221480407181144,2.73971341,2.743212816,2.745049022,2.746921633,2.749576208,inf,0,197.0,1.6011378073248728,0.0012524919886303311,1.597967568,1.600144654,1.601204759,1.60219186,1.603708528,inf,3.5,197.0,3.6408777361319795,0.00289547422125189,3.633793899,3.638582409,3.64090794,3.643313961,3.646860379,0.04025078175199415
2,0,186.0,3.1478065381451605,0.0008608654692120182,3.145657788,3.147166983,3.1477904025,3.14840578975,3.150399379,inf,0,186.0,1.8378319201774191,0.0004977386678904829,1.836600557,1.83748303775,1.8378179095,1.83817814525,1.839313661,inf,4.0,186.0,4.176360046252688,0.001135314160933473,4.173550299,4.175504097,4.1763333065,4.177151511250001,4.179730375,0.04409001156317194
3,1,219.0,4.108210083890411,0.0027801577805722623,4.099313651,4.1065174859999996,4.108409633,4.1101350025,4.114019887,3.1082100838904108,0,219.0,1.790147228648402,0.0012114294861768878,1.786262016,1.7894006464999999,1.790230161,1.7909913935000001,1.792667868,inf,4.0,219.0,4.084383669721461,0.0027633941367050567,4.075520377,4.0827271655,4.084584273,4.0862915735000005,4.090132109,0.02109591743036532
4,-1,219.0,2.0586524026347033,0.0011158887796433887,2.055211419,2.0580033369999997,2.058725676,2.0593324895,2.062062769,3.0586524026347033,0,219.0,1.8336626991780824,0.0010023095087721597,1.830758557,1.8330591575000001,1.833688089,1.8342686895,1.836792419,inf,4.0,219.0,4.1517382863972605,0.0023206694887133333,4.144789794,4.1503393840000005,4.151844117,4.153153314,4.159167504,0.037934571599315126
5,0,195.0,3.536656394687179,0.0009901736899401515,3.534273688,3.535920976,3.536578299,3.5374119229999996,3.538940305,inf,0,195.0,2.072891444271795,0.0005852421287776479,2.071443496,2.072454296,2.072850835,2.0733235285,2.074240243,inf,4.5,195.0,4.708953976635898,0.0013204008647471279,4.705775163,4.7079877215,4.708843818,4.709954291500001,4.711978164,0.04643421703019948
6,0,203.0,3.9075366187586207,0.002288818039029711,3.901440179,3.906231828,3.907634171,3.9090685425,3.913397032,inf,0,203.0,2.2936151760147783,0.0013209467577360273,2.290104514,2.2928484635,2.293658126,2.2944885105,2.297070262,inf,5.0,203.0,5.2081996869507385,0.0030349704806324693,5.200132429,5.206441917499999,5.208289419,5.2102029084999995,5.216027668,0.04163993739014771
7,1,209.0,4.901529771325358,0.002466754214522323,4.895492644,4.899993327,4.901341053,4.902893804,4.919497875,3.9015297713253583,0,209.0,2.2620321815933018,0.0011430180745142255,2.259206709,2.261328634,2.261950232,2.262652516,2.270418313,inf,5.0,209.0,5.153918767430622,0.0025774575080650198,5.147570019,5.152316087,5.153743893,5.155338161,5.1724703,0.030783753486124433
8,-1,194.0,2.847329056768041,0.0025339003733458837,2.839542077,2.846571995,2.848032511,2.8490795104999997,2.851823013,3.847329056768041,0,194.0,2.300973447170103,0.0019711018545686774,2.294351938,2.3002656097500003,2.301491748,2.30233744675,2.304602801,inf,5.0,194.0,5.216615974716495,0.004644217075928105,5.2024094,5.21516731,5.217933208,5.21978819975,5.224805228,0.04332319494329902
9,0,228.0,4.318726329653509,0.005007180238190599,4.304653494,4.31534074,4.318438383,4.3219249465,4.334713714,inf,0,228.0,2.5383988719517543,0.0029456904629923367,2.530154981,2.53636845025,2.5381785839999997,2.5402996045,2.547773416,inf,5.5,228.0,5.764770379473685,0.006682201675511672,5.745931071,5.760254102499999,5.764304008,5.769067472000001,5.785940428,0.04814006899521543
10,0,198.0,4.697974070868686,0.008873501427457854,4.682734375,4.690569964,4.695081708,4.70729585025,4.71478204,inf,0,198.0,2.76337572279293,0.005058589922547815,2.754603391,2.75910094475,2.7617803645,2.76862754675,2.773028124,inf,6.0,198.0,6.28460530011111,0.011902156341779447,6.264217817,6.27456390725,6.2808451495,6.2971022127500005,6.307068063,0.04743421668518503
11,1,210.0,5.683144540876191,0.005924245735321631,5.67059387,5.6787777935,5.682730703,5.6869153405,5.699301076,4.683144540876191,0,210.0,2.7273430903238096,0.0028513551956407365,2.721216938,2.72524690725,2.727104576,2.72907791675,2.735225107,inf,6.0,210.0,6.213140505157142,0.006582849593135752,6.19892468,6.20837347375,6.212675293,6.21714694425,6.230501898,0.035523417526190336
12,-1,209.0,3.630788026942583,0.008277058447672932,3.607571209,3.626448091,3.631022949,3.636933345,3.647514145,4.630788026942583,0,209.0,2.7743750505358853,0.006216224794252422,2.756843582,2.771001898,2.774433502,2.779211076,2.787167388,inf,6.0,209.0,6.294876272196171,0.014338909326821237,6.254852432,6.286940236,6.295048244,6.305690338,6.324395262,0.04914604536602848
13,0,206.0,5.074246532781554,0.0036065534004590567,5.066307291,5.0715938202499995,5.073956652,5.0763741,5.084318619,inf,0,206.0,2.988761722,0.002118658116314733,2.984113837,2.9872049525,2.9886174910000003,2.9900416942500003,2.994697375,inf,6.5,206.0,6.794621377849514,0.004825472600735172,6.784012188,6.79104835525,6.7942316385,6.797440323,6.808127448,0.045326365823002104
14,0,201.0,5.436962036587064,0.00635932537582801,5.428085732,5.432876307,5.435033596,5.437796884,5.453689219,inf,0,201.0,3.2048516237014923,0.0037643562909007123,3.19966763,3.202466068,3.203714989,3.205339022,3.214654984,inf,7.0,201.0,7.287326389069651,0.008593274639943117,7.275412498,7.281858433,7.284648266,7.288397747,7.309855538,0.041046627009950196
15,1,193.0,6.496760457253887,0.005001462708748136,6.481698798,6.493691436,6.496794711,6.499505552,6.510998112,5.496760457253887,0,193.0,3.2101650239274613,0.0024359831285092675,3.202852046,3.208617138,3.210233192,3.211490331,3.216898356,inf,7.0,193.0,7.308896949554404,0.0055274934262995595,7.292382467,7.305441849,7.309014262,7.311757227,7.324159234,0.04412813565062912
16,2,207.0,7.450678200753623,0.0074995872400527045,7.409890811,7.448046111,7.4515061,7.4550740605,7.468012376,2.7253391003768117,0,207.0,3.159495814884058,0.0031352074253235933,3.142492013,3.1583725685,3.159949195,3.1613085930000002,3.166755384,inf,7.0,207.0,7.214145710024155,0.007241040247382206,7.174032312,7.2114322054999995,7.21520779,7.218286676,7.231739162,0.03059224428916504
17,-1,178.0,4.398670215539325,0.00519039392958342,4.388857933,4.39503532775,4.39765961,4.400913328000001,4.413826952,5.398670215539325,0,178.0,3.2184962916516855,0.003931833388085165,3.211228303,3.21577514425,3.21766269,3.2201072865,3.229913258,inf,7.0,178.0,7.311089053275281,0.008911155467677772,7.294652166,7.3048803805,7.309200453500001,7.3146644755,7.336969893,0.04444129332504015
18,-2,241.0,3.332738754414938,0.004257573678287988,3.319059128,3.330774833,3.333607148,3.335433308,3.341762656,2.6663693772074692,0,241.0,3.1865483733402487,0.003941256809917589,3.173953188,3.184573627,3.18730553,3.18909824,3.195075174,inf,7.0,241.0,7.215356132692946,0.008949317113239525,7.186820107,7.210877862,7.217075597,7.221089801,7.234792989,0.03076516181327804
19,0,209.0,5.8617838359665075,0.015618679287513438,5.832439461,5.848373904,5.861926555,5.874306495,5.905131135,inf,0,209.0,3.4589107862727273,0.009200749440227043,3.441766604,3.451005467,3.459012663,3.466138614,3.484886162,inf,7.5,209.0,7.8684208545071765,0.020854712507071455,7.829225982,7.850490251,7.868595542,7.885081095,7.926454449,0.04912278060095687
20,0,227.0,6.261895749687224,0.014926699101983503,6.218253778,6.2513093845,6.262151597,6.272716541,6.295003741,inf,0,227.0,3.6994056971585905,0.008825688366810547,3.674205047,3.693152438,3.699727472,3.70593532,3.71883465,inf,8.0,227.0,8.418983059493392,0.02005189911607076,8.360567621,8.4050517695,8.418998275,8.433728915,8.463207639,0.05237288243667404
21,1,194.0,7.269634150969072,0.00867009019379132,7.232106615,7.26637043975,7.269977258,7.27521253075,7.298786226,6.269634150969072,0,194.0,3.6670248074432994,0.004320259513177785,3.648553837,3.6654477607500002,3.6671947595,3.66980548575,3.681766132,inf,8.0,194.0,8.357463793582474,0.010047620781862792,8.313513741,8.353812329,8.357970930499999,8.363868136,8.391067954,0.0446829741978092
22,2,209.0,8.17379699992823,0.021047010753469084,8.133055826,8.157297517,8.167061975,8.195843372,8.214407362,3.086898499964115,0,209.0,3.5875324735980856,0.009029818502485094,3.569987006,3.580441245,3.584809596,3.596991665,3.605323158,inf,8.0,209.0,8.184238857827753,0.021140051636330287,8.143840201,8.167844586,8.177850627,8.206728828,8.225485425,0.023029857228469064
23,-1,132.0,4.897253459977273,0.05900279682964311,4.872053064,4.88597097725,4.890539878,4.89419539125,5.431709617,5.897253459977273,0,132.0,3.690176974075758,0.04444887310770336,3.671480933,3.681690235,3.6851652770000003,3.687882462,4.092777468,inf,8.0,132.0,8.386215204287879,0.10113033618986289,8.343660161,8.366900653,8.374638899499999,8.38091002975,9.301936122,0.04827690053598488
24,-2,223.0,4.030372762672646,0.004847771146216425,4.016205425,4.027191428,4.030386184,4.0340222390000005,4.043097727,3.015186381336323,0,223.0,3.628571692426009,0.004374807941796359,3.615897999,3.6257125725000003,3.628598583,3.6318404005,3.639956941,inf,8.0,223.0,8.234808157295964,0.009919978642067107,8.206126289,8.228221509,8.234785779,8.24219747,8.260740839,0.029351019661995492
25,0,210.0,6.708892052295239,0.004395377224096854,6.695705378,6.70591165175,6.7090537975,6.712131728,6.720715025,inf,0,210.0,3.9581052508238095,0.0025896858022806603,3.95040185,3.95634566525,3.9581817185,3.9600605037500003,3.965018519,inf,8.5,210.0,9.011347434057143,0.005896387486202947,8.993794567,9.0072925895,9.0115493595,9.0156881875,9.027188244,0.060158521653781515
26,0,174.0,7.0856919217356324,0.017257737104799196,7.057209631,7.07241222675,7.080432868,7.1010621875,7.130573817,inf,0,174.0,4.175119745890805,0.010206784351430851,4.158368706,4.1672859415,4.171946042,4.1842147535,4.201553689,inf,9.0,174.0,9.511275709488507,0.023538816809604787,9.472725432,9.493164788,9.5037666435,9.5323834325,9.572233984,0.056808412165389614
27,1,213.0,8.114390610680752,0.008033633469614778,8.092518104,8.10893356,8.114599893,8.119863406,8.135717646,7.114390610680752,0,213.0,4.160278225549296,0.00412217041455985,4.149108959,4.157489482,4.160395477,4.163034083,4.171280092,inf,9.0,213.0,9.487367349934273,0.009386667464896551,9.461786949,9.481054215,9.487587209,9.493727546,9.512333242,0.05415192777047473
28,2,145.0,9.083131914434484,0.014206329557801304,9.007245898,9.075893367,9.083741642,9.092494,9.113569322,3.5415659572172418,0,145.0,4.1187543896965515,0.006480216907917772,4.083699898,4.115475662,4.119127889,4.123113936,4.132494976,inf,9.0,145.0,9.403202214517243,0.014681941075282196,9.324873939,9.395575545,9.40381228,9.412966285,9.434779291,0.04480024605747149
29,-1,142.0,5.903497937809859,0.018142019306200716,5.76875912,5.901521865,5.9057905415,5.90960301275,5.926267808,6.903497937809859,0,142.0,4.143112937359154,0.012569402297685241,4.049797272,4.141646919,4.144743479,4.1474079705,4.158562723,inf,9.0,142.0,9.422069595049296,0.028710258437259124,9.209012004,9.41884576075,9.425712041499999,9.431754173,9.457120951,0.04689662167214396
30,-2,214.0,4.886936370504672,0.007361421941164064,4.857410258,4.88357012325,4.8874602935,4.891584718,4.906200031,3.443468185252336,0,214.0,4.163412979219626,0.0062283046292390416,4.138599239,4.16042600825,4.163854649,4.16742309625,4.179906154,inf,9.0,214.0,9.447232294495327,0.014110299700800674,9.391198236,9.440597256,9.448267435999998,9.45622686275,9.484535678,0.049692477166147477
