__time,/tf/camera_color_optical_frame/tag36h11:1/header/stamp,/tf/camera_color_optical_frame/tag36h11:1/rotation/w,/tf/camera_color_optical_frame/tag36h11:1/rotation/x,/tf/camera_color_optical_frame/tag36h11:1/rotation/y,/tf/camera_color_optical_frame/tag36h11:1/rotation/z,/tf/camera_color_optical_frame/tag36h11:1/translation/x,/tf/camera_color_optical_frame/tag36h11:1/translation/y,/tf/camera_color_optical_frame/tag36h11:1/translation/z
1687814893.551703,1687814893.500125408,0.048598222,-0.998410216,-0.011746817,-0.026024339,0.501893775,0.438222371,12.466565485
1687814893.584056,1687814893.533829927,0.072189619,0.995514216,0.012044965,-0.059958512,0.501748966,0.438175766,12.469540204
1687814893.619445,1687814893.567536116,0.031718227,-0.999422037,-0.011122033,0.005083907,0.503688379,0.440160388,12.516943707
1687814893.683028,1687814893.601244688,0.046714487,-0.998608017,-0.009935672,-0.022384555,0.501257965,0.437897553,12.445664430
1687814893.701439,1687814893.634955406,0.007509750,-0.999433425,-0.014972032,-0.029193690,0.501408004,0.437451512,12.458292019
1687814893.719591,1687814893.668668270,0.017291666,-0.999548893,-0.014351582,-0.019925897,0.501919364,0.437780380,12.469106807
1687814893.750515,1687814893.702383041,0.017471562,-0.999212340,-0.013926103,-0.032794936,0.501637633,0.437701023,12.458873970
1687814893.784136,1687814893.736100197,0.012252330,-0.999579724,-0.013766337,-0.022377302,0.502657247,0.438642833,12.489323258
1687814893.817579,1687814893.769819260,0.034928663,-0.998879286,-0.011537452,-0.029783351,0.502174397,0.438663979,12.475248758
1687814893.851222,1687814893.803540468,0.009264940,-0.999686278,-0.013010822,-0.019293136,0.502605319,0.438233091,12.483698064
1687814893.887544,1687814893.837264061,0.032602490,-0.999149676,-0.011076750,-0.022678344,0.502477769,0.439200536,12.487793595
1687814893.920435,1687814893.870989561,-0.061376900,-0.996150745,-0.011866850,0.061447115,0.502334775,0.438638224,12.488572042
1687814893.951783,1687814893.904717207,0.029974181,-0.998837596,-0.011561912,-0.035935053,0.501037558,0.438462757,12.442804527
1687814893.984996,1687814893.938446999,0.049282324,-0.998202972,-0.012035542,-0.031893970,0.501257565,0.437940195,12.449059914
1687814894.019132,1687814893.972178936,-0.002082161,-0.999302242,-0.013846192,-0.034626238,0.501085762,0.437773200,12.455078509
1687814894.051679,1687814894.005912781,-0.004717506,-0.999553640,-0.014688793,-0.025583291,0.502916266,0.438292401,12.488672001
1687814894.083701,1687814894.039649248,0.038032908,-0.999056526,-0.012655347,-0.016715226,0.502856757,0.439657436,12.496013223
